ncaa_id,first_name,last_name,portal_name,institution,conference,division,transfer_date,update_date,status,year,sport,team_id,player_id_64a,player_id_ncaa_stats,matched_name,match_score,match_method,confidence,position,class_year,player_csv_team_id
2504582895,ISAIAH,WHITE,Isaiah White,Coppin State University,Northeast Conference,I,12/01/2025,02/26/2026,Matriculated,2025-26,Baseball,181,127742,3238342,Isaiah White,100.0,broad_lastresort,HIGH,CF,Jr,59
2009913932,ANTONIO,DIGRIGOLI,Antonio Digrigoli,Towson University,Coastal Athletic Association,I,12/01/2025,02/26/2026,Active,2025-26,Baseball,793,54536,2806239,Antonio DiGrigoli,100.0,broad_lastresort,HIGH,C,,331
2411453313,ANDERSON,HANES,Anderson Hanes,Erskine College,Conference Carolinas,II,12/15/2025,02/26/2026,Matriculated,2025-26,Baseball,247,127729,3238248,Anderson Hanes,100.0,broad_lastresort,HIGH,P,So,59
2403242900,ADIN,MOREHOUSE,Adin Morehouse,Eastern New Mexico University,Lone Star Conference,II,02/18/2026,02/26/2026,Active,2025-26,Baseball,230,116611,3105238,Adin Morehouse,100.0,team+fullname,HIGH,C,Sr,230
2211720166,AUSTIN,KURR,Austin Kurr,University of Colorado Colorado Springs,Rocky Mountain Athletic Conference,II,02/26/2026,02/26/2026,Active,2025-26,Baseball,,129284,3239625,Austin Kurr,100.0,broad_lastresort,HIGH,P,Jr,812
2602822244,ETHAN,ROLLER,Ethan Roller,Regent University,Coast-To-Coast Athletic Conference,III,02/13/2026,02/25/2026,Active,2025-26,Baseball,2259,147279,3205508,Ethan Roller,100.0,team+lastname,HIGH,INF,Fr,2259
2501501255,VINCENZO,MAZZONE,Vincenzo Mazzone,University of Missouri-St. Louis,Great Lakes Valley Conference,II,02/25/2026,02/25/2026,Active,2025-26,Baseball,497,103157,3066184,Vincenzo Mazzone,100.0,team+lastname,HIGH,C,So,497
1909698302,TERVELL,JOHNSON,Tervell Johnson,Seattle University,West Coast Conference,I,12/01/2025,02/24/2026,Matriculated,2025-26,Baseball,693,11247,2487180,Tervell Johnson,100.0,broad_lastresort,HIGH,2B,Sr,9
2311160419,HUNTER,SANTILLI,Hunter Santilli,The University of Virginia's College at Wise,South Atlantic Conference,II,02/23/2026,02/23/2026,Active,2025-26,Baseball,847,104521,3102077,Hunter Santilli,100.0,team+lastname,HIGH,P,,847
2404270928,MICHAEL,GIAMARTINO,Michael Giamartino,Wofford College,Southern Conference,I,12/05/2025,02/21/2026,Matriculated,2025-26,Baseball,932,11280,2355369,Michael Giammarino,94.4,broad_lastresort,MEDIUM,P,,296
2110342277,JESSE,PONCE,Jesse Ponce,Dallas Baptist University,Conference USA,II,12/02/2025,02/21/2026,Matriculated,2025-26,Baseball (DI),201,62130,2820925,Jesse Ponce,100.0,broad_lastresort,HIGH,SS,Jr,772
1910724082,MATTHEW,BROWN,Matthew Brown,University of South Florida,American Conference,I,10/02/2025,02/21/2026,Matriculated,2025-26,Baseball,712,19460,1998002,Matthew Brown,100.0,broad_lastresort,HIGH,INF,,507
2303811352,AUSTIN,CAMPBELL,Austin Campbell,"University of Massachusetts, Amherst",Mid-American Conference,I,12/03/2025,02/21/2026,Matriculated,2025-26,Baseball,452,13583,2494071,Austin Campbell,100.0,broad_lastresort,HIGH,P,,355
2004841403,DUNCAN,MCLAUGHLIN,Duncan Mclaughlin,Southern Illinois University Edwardsville,Ohio Valley Conference,I,10/01/2025,02/21/2026,Matriculated,2025-26,Baseball,705,67785,2957668,Duncan McLaughlin,100.0,broad_lastresort,HIGH,P,Sr,303
2305907715,GENEO,SAVOCA JR,Geneo Savoca Jr,University at Albany,America East Conference,I,12/04/2025,02/21/2026,Matriculated,2025-26,Baseball,806,126650,,Geneo Savoca Jr.,96.8,broad_lastresort,HIGH,INF,,167
2108290439,JAKE,MOSS,Jake Moss,University of Pennsylvania,The Ivy League,I,10/01/2025,02/21/2026,Signed,2025-26,Baseball,599,58650,2809583,Jake Moss,100.0,team+lastname,HIGH,P,Sr,599
2308994877,GARRETT,WALLACE,Garrett Wallace,Louisiana Tech University,Conference USA,I,12/01/2025,02/21/2026,Matriculated,2025-26,Baseball,420,139435,3102168,Garrett Wallace,100.0,human_override,HIGH,RF,Fr,27
2206594325,WYATT,FETHER,Wyatt Fether,Embry-Riddle Aeronautical University (Florida),Sunshine State Conference,II,12/08/2025,02/21/2026,Matriculated,2025-26,Baseball,240,104023,3085185,Wyatt Fether,100.0,broad_lastresort,HIGH,C,Fr,155
2411454785,CADEN,GARRO,Caden Garro,Flagler College,Peach Belt Conference,II,12/08/2025,02/21/2026,Matriculated,2025-26,Baseball,264,134786,3230934,Caden Garro,100.0,broad_lastresort,HIGH,P,Fr,567
2406335997,PAUL,SCHUYLER III,Paul Schuyler Iii,University of Nebraska at Omaha,The Summit League,I,12/10/2025,02/21/2026,Matriculated,2025-26,Baseball,586,116782,3115450,Paul Schuyler,86.7,broad_lastresort+confirmed,HIGH,2B,Jr,875
2309120118,JADEN,MATHON,Jaden Mathon,Eastern Illinois University,Ohio Valley Conference,I,12/12/2025,02/21/2026,Matriculated,2025-26,Baseball,227,131692,3230773,Jaden Mathon,100.0,broad_lastresort,HIGH,P,Jr,343
1904524397,IVAN,HOYT,Ivan Hoyt,Davidson College,Atlantic 10 Conference|Pioneer Football League,I,11/30/2025,02/21/2026,Signed,2025-26,Baseball|Football,198,52866,2798586,Ivan Hoyt,100.0,team+lastname,HIGH,P,Jr,198
2209664957,TAYLOR,KAUFMAN,Taylor Kaufman,Hamilton College,New England Small College Athletic Conference,III,08/29/2025,02/21/2026,Signed,2025-26,Baseball,311,54463,2834959,Taylor Kaufman,100.0,team+lastname,HIGH,RF,Sr,311
1808264064,CHASE,RICHTER,Chase Richter,University of Tampa,Sunshine State Conference,II,11/03/2025,02/21/2026,Signed,2025-26,Baseball,772,57766,2828487,Chase Richter,100.0,broad_lastresort,HIGH,P,Sr,37
2408374876,ALEX,BEDFORD,Alex Bedford,"University of Tennessee, Knoxville",Southeastern Conference,I,11/17/2025,02/21/2026,Matriculated,2025-26,Baseball,776,133906,3250313,Alex Bedford,100.0,broad_lastresort,HIGH,OF,Fr,473
2111368916,CHARLEY,PLUMMER,Charley Plummer,King University,Conference Carolinas,II,11/13/2025,02/21/2026,Matriculated,2025-26,Baseball,377,129703,3235061,Charley Plummer,100.0,broad_lastresort,HIGH,P,Fr,199
2303797582,GRAYSON,BARNES,Grayson Barnes,University of Central Oklahoma,Mid-America Intercollegiate Athletics Association,II,11/12/2025,02/21/2026,Matriculated,2025-26,Baseball,139,130269,3240469,Grayson Barnes,100.0,broad_lastresort,HIGH,P,Fr,245
2408380641,JOHN,JACKSON,John Jackson,Stephen F. Austin State University,Southland Conference,I,12/01/2025,02/21/2026,Matriculated,2025-26,Baseball,697,61252,2820127,John Jackson,100.0,broad_lastresort,HIGH,INF,,787
2407363612,LUKE,RENFROW,Luke Renfrow,Eastern Kentucky University,Atlantic Sun Conference,I,12/01/2025,02/21/2026,Signed,2025-26,Baseball,228,132080,3244371,Luke Renfrow,100.0,human_override,HIGH,C,Fr,381
