source,gameId,sport,division,date,team,opponent
pbp_gap,6529657,softball,D3,,,
pbp_gap,6529658,softball,D3,,,
pbp_gap,6529762,softball,D3,,,
pbp_gap,6529871,softball,D3,,,
pbp_gap,6530510,softball,D3,,,
pbp_gap,6530511,softball,D3,,,
pbp_gap,6532466,softball,D3,,,
pbp_gap,6532468,softball,D3,,,
pbp_gap,6534252,softball,D3,,,
pbp_gap,6534255,softball,D3,,,
pbp_gap,6535057,softball,D3,,,
pbp_gap,6535060,softball,D3,,,
pbp_gap,6536228,softball,D3,,,
pbp_gap,6536238,softball,D3,,,
pbp_gap,6539431,softball,D3,,,
pbp_gap,6540797,softball,D3,,,
pbp_gap,6541704,softball,D3,,,
pbp_gap,6542205,softball,D3,,,
pbp_gap,6542872,softball,D3,,,
pbp_gap,6542873,softball,D3,,,
pbp_gap,6542914,softball,D3,,,
pbp_gap,6543332,softball,D3,,,
pbp_gap,6543333,softball,D3,,,
pbp_gap,6543780,softball,D3,,,
pbp_gap,6543781,softball,D3,,,
pbp_gap,6544015,softball,D3,,,
pbp_gap,6544016,softball,D3,,,
pbp_gap,6544569,softball,D3,,,
pbp_gap,6544570,softball,D3,,,
pbp_gap,6545343,softball,D3,,,
pbp_gap,6545344,softball,D3,,,
pbp_gap,6545438,softball,D3,,,
pbp_gap,6545439,softball,D3,,,
pbp_gap,6545809,softball,D3,,,
pbp_gap,6546107,softball,D3,,,
pbp_gap,6546108,softball,D3,,,
pbp_gap,6546842,softball,D3,,,
pbp_gap,6546843,softball,D3,,,
pbp_gap,6546882,softball,D3,,,
pbp_gap,6546883,softball,D3,,,
pbp_gap,6546922,softball,D3,,,
pbp_gap,6546923,softball,D3,,,
pbp_gap,6547236,softball,D3,,,
pbp_gap,6547238,softball,D3,,,
pbp_gap,6547956,softball,D3,,,
pbp_gap,6547957,softball,D3,,,
pbp_gap,6547962,softball,D3,,,
pbp_gap,6549353,softball,D3,,,
pbp_gap,6549391,softball,D3,,,
pbp_gap,6549392,softball,D3,,,
pbp_gap,6549971,softball,D3,,,
pbp_gap,6557846,softball,D3,,,
pbp_gap,6557847,softball,D3,,,
pbp_gap,6567773,softball,D3,,,
pbp_gap,6567791,softball,D3,,,
pbp_gap,6567810,softball,D3,,,
pbp_gap,6567813,softball,D3,,,
pbp_gap,6567815,softball,D3,,,
pbp_gap,6567829,softball,D3,,,
pbp_gap,6567948,softball,D3,,,
pbp_gap,6568220,softball,D3,,,
pbp_gap,6568222,softball,D3,,,
pbp_gap,6568229,softball,D3,,,
pbp_gap,6568294,softball,D3,,,
pbp_gap,6568335,softball,D3,,,
pbp_gap,6568342,softball,D3,,,
