sport,division,team,date,opponent,result,runsFor,runsAgainst,teamYearId,opponentYearId
baseball,unknown,DeSales,2026-04-02,Arcadia,W 4-1,4.0,1.0,615143,615413.0
baseball,unknown,DeSales,2026-04-04,Arcadia,W 13-1,13.0,1.0,615143,615413.0
baseball,unknown,DeSales,2026-04-04,Arcadia,L 6-11,6.0,11.0,615143,615413.0
baseball,unknown,Dean,2026-04-04,New England Col.,L 2-3,2.0,3.0,615269,615295.0
baseball,unknown,Dean,2026-04-04,New England Col.,W 8-6,8.0,6.0,615269,615295.0
baseball,D1,Delaware,2026-04-02,New Mexico St.,L 6-11,6.0,11.0,614595,614683.0
baseball,D1,Delaware St.,2026-02-20,La Salle,L 4-13,4.0,13.0,614594,621265.0
baseball,D1,Delaware St.,2026-02-20,La Salle,L 8-9,8.0,9.0,614594,621265.0
baseball,D1,Delaware St.,2026-03-31,Penn,L 5-10,5.0,10.0,614594,614777.0
baseball,D1,Delaware St.,2026-04-02,Stonehill,L 2-13,2.0,13.0,614594,614759.0
baseball,D1,Delaware St.,2026-04-07,Villanova,L 10-20,10.0,20.0,614594,614803.0
baseball,unknown,Delaware Valley,2026-03-06,"Neumann @Myrtle Beach, S.C.",L 8-16,8.0,16.0,615193,615438.0
baseball,unknown,Delta St.,2026-03-10,Ark.-Monticello,L 8-9,8.0,9.0,615029,614918.0
baseball,unknown,Denison,2026-02-28,"Webster @Lexington, KY",W 20-4,20.0,4.0,615194,615380.0
baseball,unknown,Denison,2026-04-12,Marietta,W 10-2,10.0,2.0,615194,615253.0
baseball,unknown,Dominican (IL),2026-04-04,Lakeland,W 5-3,5.0,3.0,615443,615431.0
baseball,unknown,Dominican (IL),2026-04-04,Lakeland,L 0-5,0.0,5.0,615443,615431.0
baseball,unknown,Dominican (NY),2026-03-03,Mount Olive,L 13-16,13.0,16.0,614923,614889.0
baseball,unknown,Drew,2026-03-11,"Pitt.-Greensburg @Auburndale, FL",W 9-0,9.0,0.0,615196,615473.0
baseball,unknown,Drew,2026-03-11,"Pitt.-Greensburg @Auburndale, FL",W 9-7,9.0,7.0,615196,615473.0
baseball,unknown,Drew,2026-04-04,Lycoming,W 6-5,6.0,5.0,615196,615288.0
baseball,unknown,Drew,2026-04-04,Lycoming,L 6-8,6.0,8.0,615196,615288.0
baseball,unknown,Dubuque,2026-03-14,"Saint Mary's (MN) @Decatur, IL",W 4-2,4.0,2.0,615197,615342.0
baseball,unknown,Dubuque,2026-04-04,Simpson,L 2-3 (12),2.0,3.0,615197,615351.0
baseball,unknown,Dubuque,2026-04-04,Simpson,L 1-4,1.0,4.0,615197,615351.0
baseball,unknown,Dubuque,2026-04-06,Simpson,W 3-2,3.0,2.0,615197,615351.0
baseball,D1,Duke,2026-04-02,Louisville,W 6-3,6.0,3.0,614769,614646.0
baseball,D1,ETSU,2026-04-02,Samford,L 7-13,7.0,13.0,614597,614729.0
baseball,unknown,Earlham,2026-04-04,Bluffton,W 15-2,15.0,2.0,615198,615415.0
baseball,D1,East Carolina,2026-03-01,Western Caro.,L 0-2,0.0,2.0,614596,614813.0
baseball,D1,East Carolina,2026-04-02,Charlotte,W 12-2,12.0,2.0,614596,614676.0
baseball,unknown,East Tex. Baptist,2026-04-17,Mary Hardin-Baylor,W 16-13,16.0,13.0,615418,615436.0
baseball,unknown,East Tex. Baptist,2026-04-17,Mary Hardin-Baylor,W 12-4,12.0,4.0,615418,615436.0
baseball,unknown,East. Mennonite,2026-03-31,Mary Baldwin,W 25-14,25.0,14.0,615200,615275.0
baseball,unknown,East. Mennonite,2026-04-04,Hampden-Sydney,L 7-9,7.0,9.0,615200,615221.0
baseball,unknown,East. Mennonite,2026-04-04,Hampden-Sydney,L 5-18,5.0,18.0,615200,615221.0
baseball,unknown,Eastern,2026-04-02,Stevenson,L 2-3,2.0,3.0,615468,615481.0
baseball,unknown,Eastern Conn. St.,2026-04-04,UMass Dartmouth,L 3-7,3.0,7.0,615199,615354.0
baseball,unknown,Eastern Conn. St.,2026-04-04,UMass Dartmouth,L 1-7,1.0,7.0,615199,615354.0
baseball,D1,Eastern Ill.,2026-04-02,Tennessee Tech,L 6-21,6.0,21.0,614598,614752.0
baseball,D1,Eastern Ky.,2026-04-02,Austin Peay,L 2-5,2.0,5.0,614599,614858.0
baseball,D1,Eastern Mich.,2026-04-02,Toledo,L 2-10,2.0,10.0,614600,614795.0
