player_name,player_id,player_ncaa_season_id,team_id,games_played,home_runs,boxscore_hr,delta
Taylor Nelson,105737,9665306.0,1608,38,12,11,1
Ty Neal,99271,9665970.0,1608,22,1,0,1
Brooklyn Millhollin,116296,9659295.0,1972,25,1,0,1
Danica Butler,143535,11226779.0,1543,32,4,3,1
Liz Mullen,92149,9669049.0,1853,34,1,0,1
Katie Brunner,89585,9668599.0,1853,25,2,1,1
Olivia Pagano,108596,9666708.0,1250,30,2,1,1
Emily Saw,105775,9670585.0,1398,45,4,3,1
Carmen Henderson,147615,11251098.0,1851,14,1,0,1
Cara Taylor,82681,9670725.0,1910,28,1,0,1
Olivia Dishon,124772,9670873.0,1910,16,1,0,1
Haley Wilwerding,86509,9658713.0,1224,18,1,0,1
Alyson Edwards,107846,9662061.0,1224,29,6,5,1
Kendall Kersey,90328,9666896.0,1600,27,2,1,1
Samantha Bland,97097,9659354.0,1146,38,2,1,1
Zoe Twarog,143722,11241720.0,1967,25,3,2,1
Natalie Rosales,95220,9662199.0,1982,22,1,0,1
Emily Gill,147647,11248441.0,1826,29,1,0,1
Miracle McKenzie,106764,9663399.0,1288,41,14,13,1
Naya Schubel,123469,9660027.0,1993,27,3,2,1
Samantha Clark,105792,9659680.0,1424,38,1,0,1
Brooke Hodges,105795,9666031.0,1424,36,1,0,1
Jolyn Gibbons,88317,9661377.0,1145,29,3,2,1
Tyra Robinson,116308,9654444.0,1367,41,8,7,1
Makyiah Simmons,93523,9656278.0,1798,33,4,3,1
Alona Hanna,105804,9670675.0,1528,44,6,5,1
Lexie Metcalf,105819,9666484.0,1383,47,2,1,1
Emily Carpenter,143940,11233699.0,1638,43,3,2,1
Annsleigh Morris,143947,11233709.0,1638,43,6,5,1
Mattison Hamilton,143945,11233701.0,1638,43,1,0,1
Jaeleigh Darnell,105944,11210204.0,1467,36,8,7,1
Kaia Cortes,106822,9659890.0,1158,21,1,0,1
Raegan Perkes,149583,11330240.0,1800,22,1,0,1
Gianna Russo,85837,9660838.0,1436,40,6,5,1
Kayla Turmell,118454,9664725.0,1245,33,4,3,1
Danae Lopez,105297,11219968.0,1568,43,4,3,1
Aubrey Jones,144146,11226227.0,1119,39,3,2,1
Ayanna Shaw,81388,9659325.0,1117,39,1,0,1
Ryin Perico,149591,11330187.0,1944,12,2,1,1
S. Adams,148932,11255024.0,2032,31,3,2,1
B. Rofkahr,148939,11255027.0,2032,34,1,0,1
Willa Poplawski,99483,9666267.0,1478,36,2,1,1
Aby Redwine,149441,11330078.0,1813,18,1,0,1
Payton Crawford,120473,9658144.0,1759,26,2,1,1
Gigi Ganje,115593,9666492.0,1265,34,15,14,1
Kenzie Bessette,90508,9665563.0,2012,21,2,1,1
Lindsey Fischer,92056,9656092.0,1639,37,2,1,1
Haleigh Winter,144435,11218099.0,1639,29,2,1,1
Hannah Hensler,86689,9660313.0,1730,30,2,1,1
Adyson Kim,78983,9663194.0,1673,33,1,0,1
Reagan Hill,96323,9668558.0,1689,34,4,3,1
Ashley Bush,80787,9668602.0,1689,32,4,3,1
Liliana Bell,149659,11330573.0,1726,23,4,3,1
Sophia Quinlan,98105,9656093.0,1874,26,4,3,1
Emily Berry,84600,9670597.0,1623,39,8,7,1
Mya Bristow,120136,9669630.0,1623,28,5,4,1
Chloe Cardona,144572,11235513.0,1495,42,1,0,1
Mikayla Dansky,120324,9656920.0,1725,34,2,1,1
Ava Fisher,120305,11251374.0,1725,30,6,5,1
Samantha Gaona,97129,9658838.0,2019,29,1,0,1
Olivia Moscardi,144684,11226543.0,1599,31,1,0,1
Katey Brennan,89522,9669494.0,1197,39,3,2,1
Lea Kosinski,91585,11218485.0,1197,26,3,2,1
Ansley Giffin,80614,9658670.0,1945,33,1,0,1
Iona Davis,108645,9654685.0,1642,19,1,0,1
Jordan Booker,88332,9667215.0,1642,27,1,0,1
Syhia Marks,98548,11245879.0,1642,23,1,0,1
Alyssa Massucci,123548,9659035.0,1537,29,3,2,1
Emma Brinkman,84961,11236004.0,2065,28,3,2,1
"Lashea ""Shea"" Morlu",108823,,1364,28,1,0,1
Abi Brown,78722,9663441.0,1343,36,2,1,1
Bria Riebel,144905,11211468.0,1204,47,10,9,1
Kelsi Adams,90271,9659455.0,1512,41,8,7,1
Abby Lineman,78626,9657666.0,1566,35,8,7,1
Berkeley Whitten,81684,11250946.0,1820,25,9,8,1
Sophia Badell,98034,11330092.0,1820,25,7,6,1
Shalie Wooden,97641,9661345.0,1471,41,3,2,1
Abby Lawson,145034,11217561.0,1491,36,4,3,1
Marissa Moreland,145036,11217564.0,1491,35,6,5,1
Landry Bayless,145051,11236269.0,1541,40,5,4,1
Kayla Coley-Drayton,89810,9663214.0,1506,30,1,0,1
Meadow Villar,94142,11217707.0,1506,37,9,8,1
Meredith Fontenot,145069,11217704.0,1506,28,3,2,1
Helen McKinnon,86964,9670950.0,1757,25,1,0,1
Lauren Stalica,145143,11229462.0,1238,21,1,0,1
Emily Wendt,124816,,1875,19,1,0,1
Allison Kroft,79684,,1875,20,1,0,1
Caelen Jahnle,82384,,1875,19,1,0,1
Kaylee Walker,106045,9660509.0,1538,38,1,0,1
Rhiannon Carroll,96509,9665868.0,1682,16,1,0,1
CJ Davidson,83446,9667107.0,1592,30,3,2,1
Karleigh Linssen,89245,9667070.0,1909,20,1,0,1
