gameId,sport,division,date,d
6508769,baseball,D3,2026-04-04,2026-04-04
6508772,baseball,D3,2026-04-08,2026-04-08
6508845,baseball,D3,2026-04-04,2026-04-04
6508846,baseball,D3,2026-04-04,2026-04-04
6508851,baseball,D3,2026-04-17,2026-04-17
6508946,baseball,D3,2026-04-04,2026-04-04
6508948,baseball,D3,2026-04-04,2026-04-04
6508961,baseball,D3,2026-04-04,2026-04-04
6509119,baseball,D3,2026-04-04,2026-04-04
6509120,baseball,D3,2026-04-04,2026-04-04
6509126,baseball,D3,2026-04-17,2026-04-17
6509352,baseball,D3,2026-04-04,2026-04-04
6509354,baseball,D3,2026-04-04,2026-04-04
6509356,baseball,D3,2026-04-08,2026-04-08
6510094,baseball,D3,2026-04-06,2026-04-06
6510096,baseball,D3,2026-04-04,2026-04-04
6510097,baseball,D3,2026-04-04,2026-04-04
6510473,baseball,D3,2026-04-04,2026-04-04
6510877,baseball,D3,2026-04-04,2026-04-04
6510878,baseball,D3,2026-04-04,2026-04-04
6510879,baseball,D3,2026-04-07,2026-04-07
6510884,baseball,D3,2026-04-17,2026-04-17
6511177,baseball,D3,2026-04-04,2026-04-04
6511178,baseball,D3,2026-04-04,2026-04-04
6511843,baseball,D3,2026-04-04,2026-04-04
6511844,baseball,D3,2026-04-04,2026-04-04
6512316,baseball,D3,2026-04-02,2026-04-02
6512326,baseball,D3,2026-04-04,2026-04-04
6513288,baseball,D3,2026-04-09,2026-04-09
6513492,baseball,D3,2026-04-04,2026-04-04
6513493,baseball,D3,2026-04-04,2026-04-04
6513751,baseball,D3,2026-04-04,2026-04-04
6513752,baseball,D3,2026-04-04,2026-04-04
6513754,baseball,D3,2026-04-11,2026-04-11
6513874,baseball,D3,2026-04-04,2026-04-04
6513875,baseball,D3,2026-04-04,2026-04-04
6514258,baseball,D3,2026-04-04,2026-04-04
6514259,baseball,D3,2026-04-04,2026-04-04
6514432,baseball,D3,2026-04-04,2026-04-04
6514433,baseball,D3,2026-04-04,2026-04-04
6514436,baseball,D3,2026-04-12,2026-04-12
6514593,baseball,D3,2026-04-02,2026-04-02
6514595,baseball,D3,2026-04-02,2026-04-02
6514602,baseball,D3,2026-04-17,2026-04-17
6514603,baseball,D3,2026-04-17,2026-04-17
6514676,baseball,D3,2026-04-04,2026-04-04
6514678,baseball,D3,2026-04-04,2026-04-04
6514782,baseball,D3,2026-04-17,2026-04-17
6515048,baseball,D3,2026-04-04,2026-04-04
6515049,baseball,D3,2026-04-04,2026-04-04
6515687,baseball,D3,2026-04-17,2026-04-17
6515710,baseball,D3,2026-04-04,2026-04-04
6515711,baseball,D3,2026-04-04,2026-04-04
6515717,baseball,D3,2026-04-17,2026-04-17
6516859,baseball,D3,2026-04-17,2026-04-17
6516860,baseball,D3,2026-04-17,2026-04-17
6517973,baseball,D3,2026-04-04,2026-04-04
6517980,baseball,D3,2026-04-04,2026-04-04
6518087,baseball,D3,2026-04-02,2026-04-02
6518110,baseball,D3,2026-04-08,2026-04-08
6518491,baseball,D3,2026-04-02,2026-04-02
6518529,baseball,D3,2026-04-08,2026-04-08
6518741,baseball,D3,2026-04-04,2026-04-04
6518840,baseball,D3,2026-04-04,2026-04-04
6518842,baseball,D3,2026-04-04,2026-04-04
6518856,baseball,D3,2026-04-08,2026-04-08
6518905,baseball,D3,2026-04-17,2026-04-17
6518908,baseball,D3,2026-04-17,2026-04-17
6519187,baseball,D3,2026-04-17,2026-04-17
6519802,baseball,D3,2026-04-04,2026-04-04
6519808,baseball,D3,2026-04-04,2026-04-04
6519928,baseball,D3,2026-04-02,2026-04-02
6519930,baseball,D3,2026-04-02,2026-04-02
6519935,baseball,D3,2026-04-07,2026-04-07
6519971,baseball,D3,2026-04-17,2026-04-17
6520151,baseball,D3,2026-04-02,2026-04-02
6520179,baseball,D3,2026-04-04,2026-04-04
6520457,baseball,D3,2026-04-17,2026-04-17
6520572,baseball,D3,2026-04-02,2026-04-02
6520575,baseball,D3,2026-04-04,2026-04-04
6520599,baseball,D3,2026-04-04,2026-04-04
6520741,baseball,D3,2026-04-07,2026-04-07
6520756,baseball,D3,2026-04-17,2026-04-17
6521052,baseball,D3,2026-04-04,2026-04-04
6521055,baseball,D3,2026-04-04,2026-04-04
6521082,baseball,D3,2026-04-17,2026-04-17
6521991,baseball,D3,2026-04-17,2026-04-17
6523587,baseball,D3,2026-04-17,2026-04-17
6524685,baseball,D3,2026-04-17,2026-04-17
6524696,baseball,D3,2026-04-17,2026-04-17
6524931,baseball,D3,2026-04-02,2026-04-02
6524935,baseball,D3,2026-04-02,2026-04-02
6525343,baseball,D3,2026-04-02,2026-04-02
6525345,baseball,D3,2026-04-02,2026-04-02
6525374,baseball,D3,2026-04-17,2026-04-17
6526047,baseball,D3,2026-04-02,2026-04-02
6526051,baseball,D3,2026-04-09,2026-04-09
6526056,baseball,D3,2026-04-17,2026-04-17
6526097,baseball,D3,2026-04-04,2026-04-04
6526099,baseball,D3,2026-04-04,2026-04-04
6526655,baseball,D3,2026-04-12,2026-04-12
6527204,baseball,D3,2026-04-11,2026-04-11
6527292,baseball,D3,2026-04-04,2026-04-04
6527295,baseball,D3,2026-04-04,2026-04-04
6527640,baseball,D3,2026-04-04,2026-04-04
6527641,baseball,D3,2026-04-04,2026-04-04
6527646,baseball,D3,2026-04-17,2026-04-17
6527889,baseball,D3,2026-04-17,2026-04-17
6527892,baseball,D3,2026-04-17,2026-04-17
6527983,baseball,D3,2026-04-04,2026-04-04
6527989,baseball,D3,2026-04-04,2026-04-04
6528066,baseball,D3,2026-04-04,2026-04-04
6528067,baseball,D3,2026-04-04,2026-04-04
6528144,baseball,D3,2026-04-04,2026-04-04
6528146,baseball,D3,2026-04-04,2026-04-04
6528937,baseball,D3,2026-04-04,2026-04-04
6528938,baseball,D3,2026-04-04,2026-04-04
6529449,baseball,D3,2026-04-04,2026-04-04
6529453,baseball,D3,2026-04-04,2026-04-04
6529455,baseball,D3,2026-04-02,2026-04-02
6529458,baseball,D3,2026-04-04,2026-04-04
6529461,baseball,D3,2026-04-04,2026-04-04
6529725,baseball,D3,2026-04-04,2026-04-04
6529727,baseball,D3,2026-04-04,2026-04-04
6529728,baseball,D3,2026-04-04,2026-04-04
6529730,baseball,D3,2026-04-04,2026-04-04
6529734,baseball,D3,2026-04-17,2026-04-17
6529736,baseball,D3,2026-04-17,2026-04-17
6529889,baseball,D3,2026-04-06,2026-04-06
6530978,baseball,D3,2026-04-17,2026-04-17
6532031,baseball,D3,2026-04-04,2026-04-04
6532032,baseball,D3,2026-04-04,2026-04-04
6532311,baseball,D3,2026-04-04,2026-04-04
6532317,baseball,D3,2026-04-04,2026-04-04
6532442,baseball,D3,2026-04-04,2026-04-04
6532452,baseball,D3,2026-04-17,2026-04-17
6533056,baseball,D3,2026-04-02,2026-04-02
6533057,baseball,D3,2026-04-04,2026-04-04
6533058,baseball,D3,2026-04-04,2026-04-04
6533659,baseball,D3,2026-04-17,2026-04-17
6533938,baseball,D3,2026-04-04,2026-04-04
6533941,baseball,D3,2026-04-04,2026-04-04
6534153,baseball,D3,2026-04-05,2026-04-05
6534157,baseball,D3,2026-04-05,2026-04-05
6534158,baseball,D3,2026-04-04,2026-04-04
6534160,baseball,D3,2026-04-04,2026-04-04
6534177,baseball,D3,2026-04-17,2026-04-17
6534479,baseball,D3,2026-04-04,2026-04-04
6534493,baseball,D3,2026-04-04,2026-04-04
6535006,baseball,D3,2026-04-17,2026-04-17
6535007,baseball,D3,2026-04-17,2026-04-17
6535339,baseball,D3,2026-04-06,2026-04-06
6535992,baseball,D3,2026-04-04,2026-04-04
6535997,baseball,D3,2026-04-04,2026-04-04
6536361,baseball,D3,2026-04-04,2026-04-04
6536367,baseball,D3,2026-04-04,2026-04-04
6536382,baseball,D3,2026-04-14,2026-04-14
6536542,baseball,D3,2026-04-04,2026-04-04
6536545,baseball,D3,2026-04-04,2026-04-04
6536871,baseball,D3,2026-04-17,2026-04-17
6536970,baseball,D3,2026-04-02,2026-04-02
6536984,baseball,D3,2026-04-04,2026-04-04
6537000,baseball,D3,2026-04-04,2026-04-04
6537064,baseball,D3,2026-04-17,2026-04-17
6537220,baseball,D3,2026-04-04,2026-04-04
6537228,baseball,D3,2026-04-04,2026-04-04
6537270,baseball,D3,2026-04-04,2026-04-04
6537274,baseball,D3,2026-04-04,2026-04-04
6537636,baseball,D3,2026-04-02,2026-04-02
6538503,baseball,D3,2026-04-12,2026-04-12
6538771,baseball,D3,2026-04-15,2026-04-15
6539793,baseball,D3,2026-04-04,2026-04-04
6539794,baseball,D3,2026-04-04,2026-04-04
6540758,baseball,D3,2026-04-04,2026-04-04
6540759,baseball,D3,2026-04-04,2026-04-04
6540764,baseball,D3,2026-04-04,2026-04-04
6540766,baseball,D3,2026-04-04,2026-04-04
6540767,baseball,D3,2026-04-12,2026-04-12
6540816,baseball,D3,2026-04-02,2026-04-02
6540818,baseball,D3,2026-04-04,2026-04-04
6540819,baseball,D3,2026-04-04,2026-04-04
6541228,baseball,D3,2026-04-02,2026-04-02
6541254,baseball,D3,2026-04-17,2026-04-17
6541322,baseball,D3,2026-04-02,2026-04-02
6541324,baseball,D3,2026-04-04,2026-04-04
6541328,baseball,D3,2026-04-04,2026-04-04
6541481,baseball,D3,2026-04-04,2026-04-04
6541483,baseball,D3,2026-04-04,2026-04-04
6541784,baseball,D3,2026-02-28,2026-02-28
6541949,baseball,D3,2026-04-17,2026-04-17
6541992,baseball,D3,2026-04-04,2026-04-04
6541994,baseball,D3,2026-04-04,2026-04-04
6542037,baseball,D3,2026-04-17,2026-04-17
6542105,baseball,D3,2026-04-04,2026-04-04
6542107,baseball,D3,2026-04-04,2026-04-04
6542146,baseball,D3,2026-04-12,2026-04-12
6542252,baseball,D3,2026-04-06,2026-04-06
6542357,baseball,D3,2026-04-04,2026-04-04
6542358,baseball,D3,2026-04-04,2026-04-04
6542445,baseball,D3,2026-04-04,2026-04-04
6542446,baseball,D3,2026-04-04,2026-04-04
6542563,baseball,D3,2026-04-16,2026-04-16
6542565,baseball,D3,2026-04-17,2026-04-17
6542568,baseball,D3,2026-04-17,2026-04-17
6542587,baseball,D3,2026-04-04,2026-04-04
6542589,baseball,D3,2026-04-04,2026-04-04
6542649,baseball,D3,2026-04-04,2026-04-04
6542692,baseball,D3,2026-04-04,2026-04-04
6542693,baseball,D3,2026-04-04,2026-04-04
6542696,baseball,D3,2026-04-17,2026-04-17
6542707,baseball,D3,2026-04-17,2026-04-17
6542708,baseball,D3,2026-04-17,2026-04-17
6542723,baseball,D3,2026-04-17,2026-04-17
6542811,baseball,D3,2026-04-04,2026-04-04
6542813,baseball,D3,2026-04-04,2026-04-04
6542818,baseball,D3,2026-04-12,2026-04-12
6542942,baseball,D3,2026-04-04,2026-04-04
6542944,baseball,D3,2026-04-17,2026-04-17
6543043,baseball,D3,2026-04-17,2026-04-17
6543251,baseball,D3,2026-04-17,2026-04-17
6543278,baseball,D3,2026-04-04,2026-04-04
6543282,baseball,D3,2026-04-04,2026-04-04
6543770,baseball,D3,2026-04-02,2026-04-02
6543772,baseball,D3,2026-04-04,2026-04-04
6543773,baseball,D3,2026-04-04,2026-04-04
6543798,baseball,D3,2026-04-13,2026-04-13
6543967,baseball,D3,2026-04-12,2026-04-12
6544042,baseball,D3,2026-04-08,2026-04-08
6544117,baseball,D3,2026-04-04,2026-04-04
6544118,baseball,D3,2026-04-04,2026-04-04
6544767,baseball,D3,2026-04-05,2026-04-05
6544769,baseball,D3,2026-04-05,2026-04-05
6544771,baseball,D3,2026-04-04,2026-04-04
6544772,baseball,D3,2026-04-04,2026-04-04
6544886,baseball,D3,2026-04-04,2026-04-04
6544890,baseball,D3,2026-04-04,2026-04-04
6545019,baseball,D3,2026-04-03,2026-04-03
6545021,baseball,D3,2026-04-03,2026-04-03
6545039,baseball,D3,2026-04-04,2026-04-04
6545306,baseball,D3,2026-04-04,2026-04-04
6545699,baseball,D3,2026-02-24,2026-02-24
6545932,baseball,D3,2026-04-06,2026-04-06
6546822,baseball,D3,2026-04-12,2026-04-12
6546905,baseball,D3,2026-04-02,2026-04-02
6546958,baseball,D3,2026-04-17,2026-04-17
6546961,baseball,D3,2026-04-17,2026-04-17
6547467,baseball,D3,2026-04-17,2026-04-17
6547566,baseball,D3,2026-04-04,2026-04-04
6547568,baseball,D3,2026-04-04,2026-04-04
6548972,baseball,D3,2026-02-28,2026-02-28
6549288,baseball,D3,2026-04-04,2026-04-04
6549289,baseball,D3,2026-04-04,2026-04-04
6551744,baseball,D3,2026-04-04,2026-04-04
6551746,baseball,D3,2026-04-04,2026-04-04
6551922,baseball,D3,2026-04-04,2026-04-04
6551923,baseball,D3,2026-04-04,2026-04-04
6556848,baseball,D3,2026-04-17,2026-04-17
6564607,baseball,D3,2026-03-14,2026-03-14
6565317,baseball,D3,2026-04-02,2026-04-02
6565362,baseball,D3,2026-03-17,2026-03-17
6565631,baseball,D3,2026-03-15,2026-03-15
6566703,baseball,D3,2026-04-04,2026-04-04
6566704,baseball,D3,2026-04-04,2026-04-04
6567464,baseball,D3,2026-04-04,2026-04-04
6567465,baseball,D3,2026-04-04,2026-04-04
6568058,baseball,D3,2026-04-02,2026-04-02
6568085,baseball,D3,2026-04-02,2026-04-02
6568101,baseball,D3,2026-04-02,2026-04-02
6568103,baseball,D3,2026-04-02,2026-04-02
6568117,baseball,D3,2026-04-02,2026-04-02
6568456,baseball,D3,2026-04-05,2026-04-05
