year,sport,school,conference,record,berth_type
2016,baseball,New Mexico,Mountain West,38–21 (20–10),Tournament
2016,baseball,Bryant,Northeast,47–10 (26–4),Tournament
2016,baseball,Southeast Missouri State,Ohio Valley,39–19 (22–8),Tournament
2016,baseball,Utah,Pac-12,25–27 (19–11),Regular season
2016,baseball,Navy,Patriot,42–14–1 (15–5),Tournament
2016,baseball,Texas A&M,Southeastern,45–14 (20–10),Tournament
2016,baseball,Western Carolina,Southern,30–29 (15–9),Tournament
2016,baseball,Sam Houston State,Southland,41–20 (24–6),Tournament
2016,baseball,Alabama State,Southwestern Athletic,38–15 (24–0),Tournament
2016,baseball,Oral Roberts,Summit,38–19 (22–8),Tournament
2016,baseball,Louisiana–Lafayette,Sun Belt,41–19 (21–9),Tournament
2016,baseball,Saint Mary's,West Coast,33–23 (18–9),Tournament
2016,baseball,Utah Valley,Western Athletic,37–21 (18–9),Tournament
2016,baseball,ACC,10,"Boston College, Clemson, Duke, Florida State, Georgia Tech, Louisville, Miami (FL), NC State, Virginia, Wake Forest",
2016,baseball,SEC,7,"Florida, LSU, Mississippi State, Ole Miss, South Carolina, Texas A&M, Vanderbilt",
2016,baseball,Conference USA,4,"Florida Atlantic, Louisiana Tech, Rice, Southern Miss",
2016,baseball,Pac-12,4,"Arizona, Arizona State, Utah, Washington",
2016,baseball,American,3,"East Carolina, Tulane, UConn",
2016,baseball,Big Ten,3,"Minnesota, Nebraska, Ohio State",
2016,baseball,Big 12,3,"Oklahoma State, TCU, Texas Tech",
2016,baseball,Big West,3,"Cal State Fullerton, Long Beach State, UC Santa Barbara",
2016,baseball,Colonial,2,"UNC Wilmington, William & Mary",
2016,baseball,Southland,2,"Sam Houston State, Southeastern Louisiana",
2016,baseball,Sun Belt,2,"Louisiana–Lafayette, South Alabama",
2016,baseball,West Coast,2,"Gonzaga, Saint Mary's (CA)",
2016,baseball,America East,1,Binghamton,
2016,baseball,Atlantic 10,1,Rhode Island,
2016,baseball,Atlantic Sun,1,Stetson,
2016,baseball,Big East,1,Xavier,
2016,baseball,Big South,1,Coastal Carolina,
2016,baseball,Horizon,1,Wright State,
2016,baseball,Ivy,1,Princeton,
2016,baseball,MAAC,1,Fairfield,
2016,baseball,Mid-American,1,Western Michigan,
2016,baseball,MEAC,1,Bethune-Cookman,
2016,baseball,Missouri Valley,1,Dallas Baptist,
2016,baseball,Mountain West,1,New Mexico,
2016,baseball,NEC,1,Bryant,
2016,baseball,Ohio Valley,1,Southeast Missouri State,
2016,baseball,Patriot,1,Navy,
2016,baseball,Southern,1,Western Carolina,
2016,baseball,SWAC,1,Alabama State,
2016,baseball,Summit,1,Oral Roberts,
2016,baseball,WAC,1,Utah Valley,
2016,baseball,Arizona,Pac-12,44–21 (16–14),Jay Johnson
2016,baseball,Florida,SEC,52–14 (19–10),Kevin O'Sullivan
2016,baseball,Miami (FL),ACC,50–12 (21–7),Jim Morris
2016,baseball,Oklahoma State,Big 12,39–20 (16–8),Josh Holliday
2016,baseball,Texas Tech,Big 12,44–16 (19–5),Tim Tadlock
2016,baseball,UC Santa Barbara,Big West,42–18–1 (13–11),Andrew Checketts
2016,baseball,P,Andrew Beckwith ( MOP ),Coastal Carolina,
2016,baseball,J. C. Cloney,Arizona,,
2016,baseball,C,David Parrett,Coastal Carolina,
2016,baseball,1B,Ryan Aguilar,Arizona,
2016,baseball,2B,Cody Ramer,Arizona,
2016,baseball,3B,Zach Remillard,Coastal Carolina,
2016,baseball,SS,Ryan Merrill,TCU,
2016,baseball,OF,Anthony Marks,Coastal Carolina,
2016,baseball,Zach Gibbons,Arizona,,
2016,baseball,Jared Oliva,Arizona,,
2016,baseball,DH,Luken Baker,TCU,
2016,baseball,1st,Coastal Carolina,11–3,
2016,baseball,2nd,Arizona,11–4,
2016,baseball,3rd,Oklahoma State,7–2,
2016,baseball,5th,UC Santa Barbara,6–2,
2016,baseball,No. 5 Texas Tech,6–4,,
2016,baseball,7th,No. 1 Florida,5–3,
2016,baseball,No. 3 Miami,5–3,,
2016,baseball,9th,Boston College,4–2,
2016,baseball,East Carolina,4–2,,
2016,baseball,Florida State,4–2,,
2016,baseball,No. 2 Louisville,3–2,,
2016,baseball,No. 8 LSU,3–3,,
2016,baseball,No. 6 Mississippi State,3–2,,
2016,baseball,South Carolina,4–3,,
2016,baseball,No. 4 Texas A&M,4–2,,
2016,baseball,17th,Arizona State,2–2,
2016,baseball,No. 7 Clemson,2–2,,
2016,baseball,Georgia Tech,2–2,,
2016,baseball,Long Beach State,2–2,,
2016,baseball,Louisiana Tech,2–2,,
2016,baseball,Minnesota,2–2,,
2016,baseball,NC State,3–2,,
2016,baseball,Rice,3–2,,
2016,baseball,South Alabama,2–2,,
2016,baseball,Tulane,2–2,,
2016,baseball,UNC Wilmington,2–2,,
2016,baseball,33rd,Cal State Fullerton,1–2,
2016,baseball,Florida Atlantic,1–2,,
2016,baseball,Gonzaga,1–2,,
2016,baseball,Southeastern Louisiana,1–2,,
2016,baseball,Virginia,1–2,,
2016,baseball,Wake Forest,1–2,,
2016,baseball,Washington,1–2,,
2016,baseball,49th,Alabama State,0–2,
2016,baseball,Duke,0–2,,
2016,baseball,Nebraska,0–2,,
2016,baseball,Ole Miss,0–2,,
2016,baseball,Saint Mary's (CA),0–2,,
2016,baseball,Vanderbilt,0–2,,
2017,baseball,UMBC,America East,23–23 (11–9),Tournament
2017,baseball,Houston,American,40–19 (15–9),Tournament
2017,baseball,Florida State,ACC,39–20 (14–14),Tournament
2017,baseball,Florida Gulf Coast,Atlantic Sun,42–18 (13–8),Tournament
2017,baseball,Davidson,Atlantic 10,32–24 (13–11),Tournament
2017,baseball,Oklahoma State,Big 12,30–25 (8–14),Tournament
2017,baseball,Xavier,Big East,32–25 (10–6),Tournament
2017,baseball,Radford,Big South,27–30 (11–13),Tournament
2017,baseball,Iowa,Big Ten,38–20 (15–9),Tournament
2017,baseball,Long Beach State,Big West,37–17–1 (20–4),Regular season
2017,baseball,Delaware,Colonial,34–21 (15–9),Tournament
2017,baseball,Rice,Conference USA,31–29 (17–14),Tournament
2017,baseball,UIC,Horizon,39–15 (22–8),Tournament
2017,baseball,Yale,Ivy League,30–16 (16–4),Championship series
2017,baseball,Marist,Metro Atlantic,32–21 (16–8),Tournament
2017,baseball,Ohio,Mid-American,31–26 (13–11),Tournament
2017,baseball,Bethune–Cookman,Mid–Eastern,33–23 (15–8),Tournament
2017,baseball,Dallas Baptist,Missouri Valley,40–19 (15–6),Tournament
2017,baseball,San Diego State,Mountain West,41–19 (20–10),Tournament
2017,baseball,Central Connecticut,Northeast,36–20 (21–7),Tournament
2017,baseball,Tennessee Tech,Ohio Valley,40–19 (23–7),Tournament
2017,baseball,Oregon State,Pac–12,49–4 (27–3),Regular season
2017,baseball,Holy Cross,Patriot,23–25 (12–8),Tournament
2017,baseball,LSU,Southeastern,43–17 (21–9),Tournament
2017,baseball,UNC Greensboro,Southern,35–22 (14–10),Tournament
2017,baseball,Sam Houston,Southland,40–20 (19–11),Tournament
2017,baseball,Texas Southern,Southwestern Athletic,20–32 (14–10),Tournament
2017,baseball,Oral Roberts,Summit,42–14 (25–4),Tournament
2017,baseball,South Alabama,Sun Belt,39–19 (22–8),Tournament
2017,baseball,BYU,West Coast,37–19 (20–7),Tournament
2017,baseball,Sacramento State,Western Athletic,32–27 (12–12),Tournament
2017,baseball,SEC,8,"Arkansas , Auburn , Florida , Kentucky , LSU , Mississippi State , Texas A&M , Vanderbilt",
2017,baseball,ACC,7,"Clemson , Florida State , Louisville , North Carolina , NC State , Virginia , Wake Forest",
2017,baseball,Big 12,7,"Baylor , Oklahoma , Oklahoma State , TCU , Texas , Texas Tech , West Virginia",
2017,baseball,Big Ten,5,"Indiana , Iowa , Maryland , Michigan , Nebraska",
2017,baseball,Pac-12,4,"Arizona , Oregon State , Stanford , UCLA",
2017,baseball,American,3,"Houston , South Florida , UCF",
2017,baseball,Big East,2,"St. John's , Xavier",
