year,team,rpi_rank,in_tournament,is_host,w,l,q1_w,q1_l,q2_w,q2_l,q1q2_w,q1q2_g,q1q2_pct,note
2015,North Carolina,31,False,False,34,24,11,17,6,2,17,36,0.4722,
2015,South Fla.,32,True,False,33,24,10,17,4,3,14,34,0.4118,
2015,Ole Miss,33,True,False,30,26,12,16,6,8,18,42,0.4286,
2015,Indiana,34,True,False,34,22,12,7,7,8,19,34,0.5588,
2015,Arkansas,35,True,False,35,22,11,11,9,6,20,37,0.5405,
2015,Rice,36,True,False,35,20,5,6,10,5,15,26,0.5769,
2015,Arizona St.,37,True,False,34,21,10,11,3,3,13,27,0.4815,
2015,Wright St.,38,True,False,41,15,3,6,4,2,7,15,0.4667,
2015,Georgia Tech,39,False,False,32,23,5,11,12,9,17,37,0.4595,
2015,California,40,True,False,34,19,4,6,18,7,22,35,0.6286,
2015,Notre Dame,41,True,False,36,21,9,13,9,5,18,36,0.5,
2015,Ohio St.,42,False,False,35,20,5,13,6,3,11,27,0.4074,
2015,North Florida,43,False,False,45,16,5,4,5,4,10,18,0.5556,
2015,Maryland,44,True,False,39,21,11,8,5,7,16,31,0.5161,
2015,Louisiana,45,True,False,39,21,5,4,6,3,11,18,0.6111,
2015,Nebraska,46,False,False,34,23,3,12,8,4,11,27,0.4074,
2015,Tulane,47,True,False,34,23,7,11,13,8,20,39,0.5128,
2015,Southeastern La.,48,False,False,42,17,1,3,5,4,6,13,0.4615,
2015,UC Irvine,49,False,False,33,23,9,16,3,2,12,30,0.4,
2015,Alabama,50,False,False,32,28,11,18,8,9,19,46,0.413,
2015,UConn,51,False,False,35,25,8,14,7,6,15,35,0.4286,
2015,Michigan St.,52,False,False,34,23,11,11,4,2,15,28,0.5357,
2015,Stony Brook,53,True,False,34,14,1,5,1,3,2,10,0.2,
2015,Southern Miss.,54,False,False,36,18,6,8,12,5,18,31,0.5806,
2015,Missouri,55,False,False,30,28,5,15,11,5,16,36,0.4444,
2015,Duke,56,False,False,31,22,6,13,5,5,11,29,0.3793,
2015,Clemson,57,True,False,32,27,9,9,10,8,19,36,0.5278,
2015,Michigan,58,True,False,37,23,9,8,4,4,13,25,0.52,
2015,Nevada,59,False,False,41,15,6,2,7,3,13,18,0.7222,
2015,Kentucky,60,False,False,30,25,9,18,3,2,12,32,0.375,
2015,UCF,61,False,False,31,27,7,16,11,7,18,41,0.439,
2015,Oregon,62,True,False,37,23,9,8,4,8,13,29,0.4483,
2015,Creighton,63,False,False,32,19,2,5,6,8,8,21,0.381,
2015,South Carolina,64,False,False,32,25,10,16,5,4,15,35,0.4286,
2015,St. John's (NY),65,True,False,39,14,2,7,4,2,6,15,0.4,
2015,CSUN,66,False,False,33,24,2,8,8,7,10,25,0.4,
2015,Columbia,67,True,False,31,15,3,9,1,0,4,13,0.3077,
2015,Liberty,68,False,False,33,23,5,8,1,6,6,20,0.3,
2015,Lipscomb,69,True,False,39,18,4,2,5,4,9,15,0.6,
2015,UAB,70,False,False,33,25,7,6,9,9,16,31,0.5161,
2015,Memphis,71,False,False,37,21,11,9,5,5,16,30,0.5333,
2015,Fresno St.,72,False,False,31,28,1,13,10,8,11,32,0.3438,
2015,San Diego St.,73,True,False,40,21,4,3,9,7,13,23,0.5652,
2015,Tennessee,74,False,False,24,26,6,15,5,4,11,30,0.3667,
2015,UTSA,75,False,False,33,25,2,5,7,10,9,24,0.375,
2015,Virginia Tech,76,False,False,27,27,6,11,7,10,13,34,0.3824,
2015,Nicholls,77,False,False,34,19,3,2,8,8,11,21,0.5238,
2015,South Alabama,78,False,False,37,20,3,4,7,8,10,22,0.4545,
2015,Middle Tenn.,79,False,False,32,27,6,12,5,5,11,28,0.3929,
2015,Texas Tech,79,False,False,31,24,6,10,6,9,12,31,0.3871,
2015,High Point,81,False,False,29,26,8,13,2,3,10,26,0.3846,
2015,Milwaukee,82,False,False,39,20,6,5,3,4,9,18,0.5,
2015,Winthrop,83,False,False,40,19,4,6,2,0,6,12,0.5,
2015,Texas,84,True,False,30,25,3,11,6,3,9,23,0.3913,
2015,San Diego,85,False,False,33,22,2,5,9,5,11,21,0.5238,
2015,Oklahoma,86,False,False,34,27,2,11,10,9,12,32,0.375,
2015,New Mexico,87,False,False,32,27,6,10,7,11,13,34,0.3824,
2015,Boston College,88,False,False,27,27,1,13,11,10,12,35,0.3429,
2015,Indiana St.,89,False,False,28,26,6,15,4,3,10,28,0.3571,
2015,Long Beach St.,90,False,False,28,26,8,13,6,6,14,33,0.4242,
2015,Wake Forest,91,False,False,27,26,5,16,3,2,8,26,0.3077,
2015,Evansville,92,False,False,29,24,4,12,5,5,9,26,0.3462,
2015,Saint Louis,93,False,False,35,21,2,7,4,3,6,16,0.375,
2015,Washington,94,False,False,29,25,4,9,7,10,11,30,0.3667,
2015,VCU,95,True,False,37,22,3,3,3,4,6,13,0.4615,
2015,Campbell,96,False,False,32,25,7,11,2,6,9,26,0.3462,
2015,Northwestern St.,97,False,False,31,23,3,5,3,6,6,17,0.3529,
2015,Kansas St.,98,False,False,27,30,6,10,4,10,10,30,0.3333,
2015,Georgia,99,False,False,26,28,13,15,2,11,15,41,0.3659,
2015,Central Mich.,100,False,False,35,22,0,3,6,5,6,14,0.4286,
2015,Southeast Mo. St.,101,False,False,36,23,4,4,4,4,8,16,0.5,
2015,Kennesaw St.,102,False,False,28,28,4,5,9,9,13,27,0.4815,
2015,Central Ark.,103,False,False,29,24,2,6,5,7,7,20,0.35,
2015,Morehead St.,104,True,False,38,20,1,4,3,1,4,9,0.4444,
2015,West Virginia,105,False,False,27,27,3,9,5,9,8,26,0.3077,
2015,Rider,106,False,False,28,22,1,7,3,4,4,15,0.2667,
2015,CSU Bakersfield,107,True,False,36,22,4,6,1,7,5,18,0.2778,
2015,Samford,108,False,False,32,26,3,4,2,6,5,15,0.3333,
2015,Stanford,109,False,False,24,32,9,16,3,3,12,31,0.3871,
2015,South Dakota St.,110,False,False,33,23,3,5,0,1,3,9,0.3333,
2015,Wichita St.,111,False,False,26,33,4,15,0,5,4,24,0.1667,
2015,Grand Canyon,112,False,False,32,22,2,6,5,2,7,15,0.4667,
2015,Mercer,113,True,False,35,21,1,4,2,2,3,9,0.3333,
2015,McNeese,114,False,False,32,25,1,10,7,6,8,24,0.3333,
2015,Ohio,115,True,False,36,19,1,2,3,3,4,9,0.4444,
2015,Houston Christian,116,True,False,28,25,3,6,2,8,5,19,0.2632,
2015,Kent St.,117,False,False,31,22,3,3,2,4,5,12,0.4167,
2015,Texas Southern,118,True,False,31,17,0,6,1,0,1,7,0.1429,
2015,Illinois St.,119,False,False,27,27,3,11,4,3,7,21,0.3333,
2015,Western Ky.,120,False,False,24,28,5,6,5,16,10,32,0.3125,
2015,LMU (CA),121,False,False,33,21,2,5,6,4,8,17,0.4706,
2015,Pepperdine,122,True,False,30,27,0,8,4,11,4,23,0.1739,
2015,Cal Poly,123,False,False,27,27,7,9,3,6,10,25,0.4,
2015,FGCU,124,False,False,30,26,5,11,1,5,6,22,0.2727,
