kind,year,team,rpi_rank,w,l,q1q2_w,q1q2_g,q1q2_pct,conference
historical,2014,Maryland,27,36,21,18,32,0.5625,Big Ten
historical,2014,UNLV,28,35,23,16,34,0.4706,Mountain West
historical,2014,Sam Houston,29,41,17,13,24,0.5417,Conference USA
historical,2014,Long Beach St.,31,32,24,20,38,0.5263,Big West
historical,2014,Liberty,32,41,16,11,21,0.5238,Conference USA
historical,2014,Arkansas,33,38,23,18,36,0.5,Southeastern Conference
historical,2014,Georgia Tech,34,36,25,17,33,0.5152,Atlantic Coast Conference
historical,2014,Mississippi St.,36,37,22,22,39,0.5641,Southeastern Conference
historical,2014,Old Dominion,37,36,24,14,28,0.5,Sun Belt
historical,2014,San Diego St.,38,42,19,16,30,0.5333,Mountain West
historical,2014,Texas A&M,39,33,24,18,40,0.45,Southeastern Conference
historical,2014,Arizona St.,40,33,22,18,36,0.5,Big 12
historical,2014,North Carolina,42,34,25,11,30,0.3667,Atlantic Coast Conference
historical,2014,Bryant,43,42,14,2,7,0.2857,America East
historical,2014,Kansas,45,34,24,19,36,0.5278,Big 12
historical,2014,UC Irvine,46,35,22,11,28,0.3929,Big West
historical,2014,Stanford,47,30,23,14,34,0.4118,Atlantic Coast Conference
historical,2014,Clemson,48,36,23,15,33,0.4545,Atlantic Coast Conference
historical,2014,Col. of Charleston,54,41,17,8,16,0.5,Colonial Athletic Association
historical,2014,Cal St. Fullerton,56,32,22,15,31,0.4839,Big West
historical,2014,Kennesaw St.,57,37,21,10,21,0.4762,Conference USA
historical,2014,Campbell,68,40,19,12,24,0.5,Colonial Athletic Association
historical,2014,Jacksonville St.,87,36,25,7,19,0.3684,Conference USA
historical,2014,Ga. Southern,92,39,21,10,19,0.5263,Sun Belt
historical,2014,Binghamton,154,25,25,3,15,0.2,America East
historical,2014,Bethune-Cookman,205,26,31,2,13,0.1538,Southwestern Athletic Conference
historical,2014,Jackson St.,251,30,23,2,5,0.4,Southwestern Athletic Conference
historical,2015,Col. of Charleston,17,43,13,12,19,0.6316,Colonial Athletic Association
historical,2015,Fla. Atlantic,18,40,17,20,33,0.6061,American Athletic Conference
historical,2015,Coastal Carolina,20,38,19,17,31,0.5484,Sun Belt
historical,2015,Iowa,22,39,16,17,27,0.6296,Big Ten
historical,2015,Virginia,23,34,22,20,38,0.5263,Atlantic Coast Conference
historical,2015,Auburn,24,35,24,19,40,0.475,Southeastern Conference
historical,2015,Southern California,25,37,19,21,37,0.5676,Big Ten
historical,2015,East Carolina,26,40,20,21,37,0.5676,American Athletic Conference
historical,2015,UNCW,28,39,16,8,19,0.4211,Colonial Athletic Association
historical,2015,NC State,29,34,21,17,34,0.5,Atlantic Coast Conference
historical,2015,South Fla.,32,33,24,14,34,0.4118,American Athletic Conference
historical,2015,Ole Miss,33,30,26,18,42,0.4286,Southeastern Conference
historical,2015,Indiana,34,34,22,19,34,0.5588,Big Ten
historical,2015,Arkansas,35,35,22,20,37,0.5405,Southeastern Conference
historical,2015,Rice,36,35,20,15,26,0.5769,American Athletic Conference
historical,2015,Arizona St.,37,34,21,13,27,0.4815,Big 12
historical,2015,California,40,34,19,22,35,0.6286,Atlantic Coast Conference
historical,2015,Notre Dame,41,36,21,18,36,0.5,Atlantic Coast Conference
historical,2015,Maryland,44,39,21,16,31,0.5161,Big Ten
historical,2015,Louisiana,45,39,21,11,18,0.6111,Sun Belt
historical,2015,Tulane,47,34,23,20,39,0.5128,American Athletic Conference
historical,2015,Stony Brook,53,34,14,2,10,0.2,Colonial Athletic Association
historical,2015,Clemson,57,32,27,19,36,0.5278,Atlantic Coast Conference
historical,2015,Michigan,58,37,23,13,25,0.52,Big Ten
historical,2015,Oregon,62,37,23,13,29,0.4483,Big Ten
historical,2015,Texas,84,30,25,9,23,0.3913,Southeastern Conference
historical,2015,CSU Bakersfield,107,36,22,5,18,0.2778,Big West
historical,2015,Texas Southern,118,31,17,1,7,0.1429,Southwestern Athletic Conference
historical,2015,FIU,147,29,29,14,32,0.4375,Conference USA
historical,2015,Canisius,199,34,28,2,6,0.3333,Metro Atlantic Athletic Conference
historical,2015,Sacred Heart,234,23,30,2,7,0.2857,Metro Atlantic Athletic Conference
historical,2015,Florida A&M,236,23,23,1,8,0.125,Southwestern Athletic Conference
historical,2016,Coastal Carolina,12,44,15,15,25,0.6,Sun Belt
historical,2016,Southern Miss.,17,40,18,19,34,0.5588,Sun Belt
historical,2016,Georgia Tech,20,36,23,18,39,0.4615,Atlantic Coast Conference
historical,2016,DBU,21,41,17,14,24,0.5833,Conference USA
historical,2016,Arizona,22,38,20,18,34,0.5294,Big 12
historical,2016,UC Santa Barbara,23,37,18,18,31,0.5806,Big West
historical,2016,Fla. Atlantic,24,38,17,12,23,0.5217,American Athletic Conference
historical,2016,Rice,25,35,22,17,33,0.5152,American Athletic Conference
historical,2016,Bryant,26,47,10,4,9,0.4444,America East
historical,2016,Duke,27,33,22,16,34,0.4706,Atlantic Coast Conference
historical,2016,Wake Forest,28,34,25,17,39,0.4359,Atlantic Coast Conference
historical,2016,Louisiana Tech,29,40,18,12,21,0.5714,Conference USA
historical,2016,Tulane,30,39,19,14,27,0.5185,American Athletic Conference
historical,2016,Gonzaga,31,35,19,14,27,0.5185,West Coast Conference
historical,2016,Oklahoma St.,32,36,20,19,37,0.5135,Big 12
historical,2016,Ohio St.,33,43,18,16,28,0.5714,Big Ten
historical,2016,Sam Houston,34,41,20,12,25,0.48,Conference USA
historical,2016,UNCW,36,39,17,10,19,0.5263,Colonial Athletic Association
historical,2016,East Carolina,39,34,21,16,27,0.5926,American Athletic Conference
historical,2016,Boston College,41,31,20,14,31,0.4516,Atlantic Coast Conference
historical,2016,Minnesota,43,34,20,15,29,0.5172,Big Ten
historical,2016,South Alabama,44,40,20,7,16,0.4375,Sun Belt
historical,2016,Cal St. Fullerton,48,35,21,13,29,0.4483,Big West
historical,2016,Arizona St.,50,34,21,17,29,0.5862,Big 12
historical,2016,Nebraska,51,37,20,14,29,0.4828,Big Ten
historical,2016,UConn,53,37,23,13,27,0.4815,Big East
historical,2016,Long Beach St.,55,36,20,12,22,0.5455,Big West
historical,2016,Washington,59,32,21,16,28,0.5714,Big Ten
historical,2016,Saint Mary's (CA),60,33,23,14,28,0.5,West Coast Conference
historical,2016,Xavier,81,30,28,4,22,0.1818,Big East
historical,2016,Utah,94,25,27,14,29,0.4828,Big 12
historical,2016,William & Mary,102,29,29,5,24,0.2083,Colonial Athletic Association
historical,2016,Binghamton,103,30,23,4,8,0.5,America East
historical,2016,Alabama St.,123,38,15,3,10,0.3,Southwestern Athletic Conference
historical,2016,Bethune-Cookman,163,29,25,1,13,0.0769,Southwestern Athletic Conference
historical,2017,Virginia,15,42,14,16,27,0.5926,Atlantic Coast Conference
historical,2017,Texas,18,37,22,22,43,0.5116,Southeastern Conference
historical,2017,Baylor,19,34,21,23,40,0.575,Big 12
historical,2017,West Virginia,20,34,24,23,46,0.5,Big 12
historical,2017,UCF,21,40,20,21,38,0.5526,Big 12
historical,2017,South Fla.,22,41,17,17,30,0.5667,American Athletic Conference
historical,2017,Arizona,23,37,19,15,31,0.4839,Big 12
historical,2017,Oklahoma,24,34,22,15,36,0.4167,Southeastern Conference
historical,2017,Vanderbilt,25,33,22,20,37,0.5405,Southeastern Conference
historical,2017,Missouri St.,26,40,17,11,21,0.5238,Conference USA
historical,2017,Indiana,27,33,22,16,32,0.5,Big Ten
historical,2017,Mississippi St.,29,36,24,22,43,0.5116,Southeastern Conference
historical,2017,South Alabama,30,39,19,8,24,0.3333,Sun Belt
historical,2017,NC State,31,34,23,17,35,0.4857,Atlantic Coast Conference
historical,2017,St. John's (NY),33,42,11,9,13,0.6923,Big East
historical,2017,Michigan,35,42,15,15,24,0.625,Big Ten
historical,2017,Maryland,36,37,21,12,25,0.48,Big Ten
historical,2017,Oklahoma St.,41,30,25,19,37,0.5135,Big 12
historical,2017,Rice,42,31,29,18,39,0.4615,American Athletic Conference
historical,2017,Texas A&M,43,36,21,16,36,0.4444,Southeastern Conference
historical,2017,Nebraska,44,35,20,15,28,0.5357,Big Ten
historical,2017,Cal St. Fullerton,45,34,21,16,29,0.5517,Big West
historical,2017,Auburn,48,35,24,19,33,0.5758,Southeastern Conference
historical,2017,Sam Houston,49,40,20,12,27,0.4444,Conference USA
historical,2017,DBU,50,40,19,10,24,0.4167,Conference USA
historical,2017,UCLA,55,30,25,21,37,0.5676,Big Ten
historical,2017,BYU,57,37,19,13,23,0.5652,Big 12
historical,2017,Iowa,70,38,20,11,19,0.5789,Big Ten
historical,2017,Xavier,74,32,25,9,26,0.3462,Big East
historical,2017,Bethune-Cookman,76,33,23,6,20,0.3,Southwestern Athletic Conference
historical,2017,Delaware,122,34,21,2,6,0.3333,Conference USA
historical,2017,Texas Southern,248,20,32,1,10,0.1,Southwestern Athletic Conference
historical,2018,Auburn,14,39,21,24,45,0.5333,Southeastern Conference
historical,2018,Texas A&M,15,39,20,18,37,0.4865,Southeastern Conference
historical,2018,UConn,16,35,20,22,38,0.5789,Big East
historical,2018,Tennessee Tech,18,48,9,9,14,0.6429,Ohio Valley Conference
historical,2018,South Fla.,19,35,20,16,32,0.5,American Athletic Conference
historical,2018,Duke,22,40,15,15,28,0.5357,Atlantic Coast Conference
historical,2018,Jacksonville,23,39,19,13,26,0.5,Atlantic Sun Conference
historical,2018,Missouri St.,24,39,15,14,25,0.56,Conference USA
historical,2018,Louisville,25,43,17,17,31,0.5484,Atlantic Coast Conference
historical,2018,Indiana,26,38,17,17,32,0.5312,Big Ten
historical,2018,St. John's (NY),27,39,15,13,23,0.5652,Big East
historical,2018,UCLA,28,36,19,14,29,0.4828,Big Ten
historical,2018,Mississippi St.,29,31,25,20,40,0.5,Southeastern Conference
historical,2018,Purdue,30,37,19,16,32,0.5,Big Ten
historical,2018,Baylor,31,36,19,18,32,0.5625,Big 12
historical,2018,Fla. Atlantic,33,40,17,14,23,0.6087,American Athletic Conference
historical,2018,LSU,34,37,25,18,39,0.4615,Southeastern Conference
historical,2018,Northeastern,35,36,19,9,25,0.36,Colonial Athletic Association
historical,2018,DBU,36,40,19,17,30,0.5667,Conference USA
historical,2018,Ohio St.,37,36,22,14,27,0.5185,Big Ten
historical,2018,Southern Miss.,38,43,16,13,23,0.5652,Sun Belt
historical,2018,Troy,39,41,19,12,26,0.4615,Sun Belt
historical,2018,Oklahoma St.,40,29,24,19,39,0.4872,Big 12
historical,2018,Oklahoma,41,36,23,18,36,0.5,Southeastern Conference
historical,2018,Vanderbilt,42,31,25,22,43,0.5116,Southeastern Conference
historical,2018,South Carolina,44,33,24,16,35,0.4571,Southeastern Conference
historical,2018,Houston,46,36,23,21,40,0.525,Big 12
historical,2018,Washington,64,30,23,18,32,0.5625,Big Ten
historical,2018,UNCW,65,37,21,11,21,0.5238,Colonial Athletic Association
historical,2018,New Mexico St.,82,40,20,4,16,0.25,Conference USA
