rank,teamSeasonId,teamName,conference,record,rpi,sport,division,date
230,613766,Kansas City,Summit League,228,0.44910,softball,D1,05/10/2026 (Selections)
230,613770,A&M-Corpus Christi,Southland,233,0.44910,softball,D1,05/10/2026 (Selections)
232,613734,Delaware St.,MEAC,231,0.44874,softball,D1,05/10/2026 (Selections)
233,613598,Southeast Mo. St.,OVC,232,0.44806,softball,D1,05/10/2026 (Selections)
234,613603,Villanova,Big East,235,0.44783,softball,D1,05/10/2026 (Selections)
235,613658,Sacred Heart,MAAC,230,0.44686,softball,D1,05/10/2026 (Selections)
236,613815,Georgetown,Big East,236,0.44589,softball,D1,05/10/2026 (Selections)
237,613776,Alabama St.,SWAC,239,0.44557,softball,D1,05/10/2026 (Selections)
238,613789,Bethune-Cookman,SWAC,237,0.44452,softball,D1,05/10/2026 (Selections)
239,613623,West Ga.,ASUN,241,0.44331,softball,D1,05/10/2026 (Selections)
240,613730,Cornell,Ivy League,244,0.44231,softball,D1,05/10/2026 (Selections)
241,613761,Kennesaw St.,CUSA,249,0.44208,softball,D1,05/10/2026 (Selections)
242,613720,Central Conn. St.,NEC,242,0.44185,softball,D1,05/10/2026 (Selections)
243,613755,Yale,Ivy League,246,0.44106,softball,D1,05/10/2026 (Selections)
244,613593,Portland St.,Big Sky,245,0.44058,softball,D1,05/10/2026 (Selections)
245,613740,ETSU,SoCon,238,0.43843,softball,D1,05/10/2026 (Selections)
246,613771,Lipscomb,ASUN,250,0.43817,softball,D1,05/10/2026 (Selections)
247,613564,Monmouth,CAA,240,0.43794,softball,D1,05/10/2026 (Selections)
248,613794,Bradley,MVC,248,0.43730,softball,D1,05/10/2026 (Selections)
249,613581,Utah Tech,WAC,247,0.43676,softball,D1,05/10/2026 (Selections)
250,613584,Queens (NC),ASUN,251,0.43410,softball,D1,05/10/2026 (Selections)
251,613737,Drake,MVC,254,0.43386,softball,D1,05/10/2026 (Selections)
252,613719,Canisius,MAAC,256,0.43265,softball,D1,05/10/2026 (Selections)
253,613646,Penn,Ivy League,253,0.43253,softball,D1,05/10/2026 (Selections)
254,613756,Youngstown St.,Horizon,243,0.43215,softball,D1,05/10/2026 (Selections)
255,613762,Presbyterian,Big South,252,0.43104,softball,D1,05/10/2026 (Selections)
256,613793,Bowling Green,MAC,255,0.43031,softball,D1,05/10/2026 (Selections)
257,613805,CSUN,Big West,259,0.43000,softball,D1,05/10/2026 (Selections)
258,613615,Jackson St.,SWAC,257,0.42920,softball,D1,05/10/2026 (Selections)
259,613567,Mount St. Mary's,MAAC,258,0.42918,softball,D1,05/10/2026 (Selections)
260,613825,Houston Christian,Southland,261,0.42723,softball,D1,05/10/2026 (Selections)
261,613773,Abilene Christian,WAC,262,0.42696,softball,D1,05/10/2026 (Selections)
262,613717,UC Riverside,Big West,269,0.41516,softball,D1,05/10/2026 (Selections)
263,613820,Grambling,SWAC,263,0.41428,softball,D1,05/10/2026 (Selections)
264,613688,Tennessee Tech,OVC,268,0.41402,softball,D1,05/10/2026 (Selections)
265,613847,LIU,NEC,265,0.41324,softball,D1,05/10/2026 (Selections)
266,613812,Furman,SoCon,264,0.41286,softball,D1,05/10/2026 (Selections)
267,613710,Weber St.,Big Sky,267,0.41189,softball,D1,05/10/2026 (Selections)
268,613586,Southern Ind.,OVC,272,0.41155,softball,D1,05/10/2026 (Selections)
269,613671,South Carolina St.,MEAC,260,0.41138,softball,D1,05/10/2026 (Selections)
270,613736,Detroit Mercy,Horizon,270,0.40948,softball,D1,05/10/2026 (Selections)
271,613787,Charleston So.,Big South,266,0.40747,softball,D1,05/10/2026 (Selections)
272,613638,Oakland,Horizon,273,0.40641,softball,D1,05/10/2026 (Selections)
273,613753,Green Bay,Horizon,276,0.40577,softball,D1,05/10/2026 (Selections)
274,613708,Wagner(AQ),NEC,275,0.40511,softball,D1,05/10/2026 (Selections)
275,613802,CSU Bakersfield,Big West,274,0.40503,softball,D1,05/10/2026 (Selections)
276,613844,Lafayette,Patriot,271,0.40187,softball,D1,05/10/2026 (Selections)
277,613801,Cal Poly,Big West,284,0.39763,softball,D1,05/10/2026 (Selections)
278,613582,Bellarmine,ASUN,279,0.39701,softball,D1,05/10/2026 (Selections)
279,613588,East Texas A&M,Southland,282,0.39665,softball,D1,05/10/2026 (Selections)
280,613764,Ark.-Pine Bluff,SWAC,278,0.39601,softball,D1,05/10/2026 (Selections)
281,613619,Morgan St.,MEAC,285,0.39240,softball,D1,05/10/2026 (Selections)
282,613578,Norfolk St.,MEAC,277,0.39062,softball,D1,05/10/2026 (Selections)
283,613821,Hampton,CAA,281,0.39042,softball,D1,05/10/2026 (Selections)
284,613751,Merrimack,MAAC,286,0.39003,softball,D1,05/10/2026 (Selections)
285,613659,St. Bonaventure,Atlantic 10,280,0.38776,softball,D1,05/10/2026 (Selections)
286,613579,N.C. A&T,CAA,283,0.38639,softball,D1,05/10/2026 (Selections)
287,613765,IU Indy,Horizon,289,0.38548,softball,D1,05/10/2026 (Selections)
288,613745,FDU,NEC,291,0.38409,softball,D1,05/10/2026 (Selections)
289,613587,Stonehill,NEC,292,0.38374,softball,D1,05/10/2026 (Selections)
290,613855,Maine,America East,287,0.38311,softball,D1,05/10/2026 (Selections)
291,613856,Manhattan,MAAC,290,0.37793,softball,D1,05/10/2026 (Selections)
292,613798,Bucknell,Patriot,288,0.37767,softball,D1,05/10/2026 (Selections)
