team_id,team_name,sport,division,ncaa_school,primary_metric_name,primary_metric_value,fgr,primary_percentile,fgr_percentile,education_percentile
461,Memphis,Baseball,D1,University of Memphis,GSR,91.0,59.0,0.47959183673469385,0.21063829787234042,0.34511506730351715
622,Presbyterian,Baseball,D1,Presbyterian College,GSR,91.0,59.0,0.47959183673469385,0.21063829787234042,0.34511506730351715
351,Indiana St.,Baseball,D1,Indiana State University,GSR,87.0,64.0,0.24285714285714285,0.425531914893617,0.3341945288753799
417,Longwood,Baseball,D1,Longwood University,GSR,87.0,64.0,0.24285714285714285,0.425531914893617,0.3341945288753799
265,Florida,Baseball,D1,Florida Atlantic University,GSR,90.0,60.0,0.41020408163265304,0.2574468085106383,0.3338254450716457
116,California Baptist,Baseball,D1,California Baptist University,GSR,90.0,60.0,0.41020408163265304,0.2574468085106383,0.3338254450716457
220,East Carolina,Baseball,D1,East Carolina University,GSR,89.0,61.0,0.3510204081632653,0.3,0.32551020408163267
942,Youngstown St.,Baseball,D1,Youngstown State University,GSR,83.0,67.0,0.11224489795918367,0.5340425531914894,0.32314372557533655
289,George Mason,Baseball,D1,George Mason University,GSR,88.0,62.0,0.29591836734693877,0.34893617021276596,0.3224272687798524
492,Missouri St.,Baseball,D1,Southeast Missouri State University,GSR,88.0,62.0,0.29591836734693877,0.34893617021276596,0.3224272687798524
37,Arkansas St.,Baseball,D1,Arkansas State University,GSR,87.0,63.0,0.24285714285714285,0.39787234042553193,0.3203647416413374
919,Winthrop,Baseball,D1,Winthrop University,GSR,87.0,63.0,0.24285714285714285,0.39787234042553193,0.3203647416413374
286,Gardner-Webb,Baseball,D1,Gardner-Webb University,GSR,90.0,59.0,0.41020408163265304,0.21063829787234042,0.3104211897524967
634,Radford,Baseball,D1,Radford University,GSR,91.0,57.0,0.47959183673469385,0.13617021276595745,0.30788102475032564
819,UIW,Baseball,D1,University of the Incarnate Word,GSR,86.0,63.0,0.20408163265306123,0.39787234042553193,0.3009769865392966
419,Louisiana,Baseball,D1,Louisiana State University,GSR,88.0,61.0,0.29591836734693877,0.3,0.2979591836734694
580,Oklahoma,Baseball,D1,University of Oklahoma,GSR,86.0,62.0,0.20408163265306123,0.34893617021276596,0.2765089014329136
320,Hawaii,Baseball,D1,"University of Hawaii, Manoa",GSR,87.0,61.0,0.24285714285714285,0.3,0.2714285714285714
1,A&M-Corpus Christi,Baseball,D1,Texas A&M University-Corpus Christi,GSR,91.0,53.0,0.47959183673469385,0.05319148936170213,0.266391663048198
776,Tennessee,Baseball,D1,East Tennessee State University,GSR,85.0,62.0,0.17346938775510204,0.34893617021276596,0.261202778983934
682,Sam Houston,Baseball,D1,Sam Houston State University,GSR,85.0,62.0,0.17346938775510204,0.34893617021276596,0.261202778983934
785,Texas St.,Baseball,D1,Texas State University,GSR,85.0,62.0,0.17346938775510204,0.34893617021276596,0.261202778983934
628,Purdue Fort Wayne,Baseball,D1,Purdue University Fort Wayne,GSR,89.0,58.0,0.3510204081632653,0.1702127659574468,0.26061658706035606
906,Wichita St.,Baseball,D1,Wichita State University,GSR,89.0,58.0,0.3510204081632653,0.1702127659574468,0.26061658706035606
372,Kentucky,Baseball,D1,Eastern Kentucky University,GSR,90.0,56.0,0.41020408163265304,0.10638297872340426,0.25829353017802864
370,Kennesaw St.,Baseball,D1,Kennesaw State University,GSR,87.0,60.0,0.24285714285714285,0.2574468085106383,0.2501519756838906
337,Houston,Baseball,D1,University of Houston,GSR,82.0,63.0,0.10204081632653061,0.39787234042553193,0.24995657837603127
619,Portland,Baseball,D1,Portland State University,GSR,90.0,55.0,0.41020408163265304,0.0851063829787234,0.24765523230568823
355,Jackson St.,Baseball,D1,Jackson State University,GSR,88.0,58.0,0.29591836734693877,0.1702127659574468,0.2330655666521928
799,Troy,Baseball,D1,Troy University,GSR,86.0,60.0,0.20408163265306123,0.2574468085106383,0.23076422058184975
163,Coastal Carolina,Baseball,D1,Coastal Carolina University,GSR,89.0,56.0,0.3510204081632653,0.10638297872340426,0.22870169344333477
872,Washington St.,Baseball,D1,Washington State University,GSR,87.0,59.0,0.24285714285714285,0.21063829787234042,0.22674772036474164
7,Akron,Baseball,D1,University of Akron,GSR,84.0,61.0,0.13877551020408163,0.3,0.2193877551020408
412,Little Rock,Baseball,D1,University of Arkansas at Little Rock,GSR,89.0,55.0,0.3510204081632653,0.0851063829787234,0.21806339557099436
36,Arkansas,Baseball,D1,"University of Arkansas, Fayetteville",GSR,88.0,57.0,0.29591836734693877,0.13617021276595745,0.2160442900564481
588,Oregon,Baseball,D1,University of Oregon,GSR,88.0,57.0,0.29591836734693877,0.13617021276595745,0.2160442900564481
357,Jacksonville St.,Baseball,D1,Jacksonville State University,GSR,86.0,59.0,0.20408163265306123,0.21063829787234042,0.20735996526270084
457,McNeese,Baseball,D1,McNeese State University,GSR,83.0,61.0,0.11224489795918367,0.3,0.20612244897959184
587,Oral Roberts,Baseball,D1,Oral Roberts University,GSR,89.0,53.0,0.3510204081632653,0.05319148936170213,0.20210594876248372
490,Missouri,Baseball,D1,University of Missouri-Kansas City,GSR,88.0,56.0,0.29591836734693877,0.10638297872340426,0.2011506730351715
891,Western Caro.,Baseball,D1,Western Carolina University,GSR,84.0,60.0,0.13877551020408163,0.2574468085106383,0.19811115935735996
136,Central Conn. St.,Baseball,D1,Central Connecticut State University,GSR,81.0,61.0,0.09183673469387756,0.3,0.19591836734693877
809,UC Riverside,Baseball,D1,"University of California, Riverside",GSR,85.0,59.0,0.17346938775510204,0.21063829787234042,0.19205384281372123
621,Prairie View,Baseball,D1,Prairie View A&M University,GSR,76.0,62.0,0.026530612244897958,0.34893617021276596,0.18773339122883195
