id,name,class_ranking,current_rpi,academics,conference_id,team_id_ncaa,sport,logo_url,state_id
101,BYU,0.0,41.0,,59.0,77.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/101.png,44.0
102,Cabrini,0.0,,,,88.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/102.png,
103,Cairn,0.0,,,84.0,1305.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/103.png,38.0
104,Cal Lutheran,0.0,,,85.0,105.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/104.png,5.0
105,Cal Poly,0.0,90.0,,86.0,90.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/105.png,5.0
106,Cal Poly Pomona,0.0,,,87.0,91.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/106.png,5.0
107,Cal St. Dom. Hills,0.0,,,87.0,92.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/107.png,5.0
108,Cal St. East Bay,0.0,,,87.0,98.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/108.png,5.0
109,Cal St. Fullerton,0.0,113.0,,86.0,97.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/109.png,5.0
110,Cal St. Monterey Bay,0.0,,,87.0,30055.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/110.png,5.0
111,Cal St. San Marcos,0.0,,,87.0,30198.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/111.png,5.0
112,Cal State LA,0.0,,,87.0,100.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/112.png,5.0
113,Caldwell,0.0,,,23.0,995.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/113.png,30.0
114,California,0.0,64.0,,72.0,107.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/114.png,5.0
115,California (PA),0.0,,,70.0,106.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/115.png,38.0
116,California Baptist,0.0,51.0,,2.0,30135.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/116.png,5.0
117,Caltech,0.0,,,85.0,89.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/117.png,5.0
118,Calvin,0.0,,,8.0,114.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/118.png,22.0
119,Cameron,0.0,,,3.0,996.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/119.png,36.0
120,Campbell,0.0,61.0,,101.0,115.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/120.png,33.0
121,Canisius,0.0,284.0,,88.0,116.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/121.png,32.0
122,Capital,0.0,,,53.0,117.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/122.png,35.0
123,Carleton,0.0,,,39.0,118.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/123.png,23.0
124,Carroll (WI),0.0,,,41.0,120.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/124.png,49.0
125,Carson-Newman,0.0,,,28.0,1000.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/125.png,42.0
126,Carthage,0.0,,,41.0,121.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/126.png,49.0
127,Catawba,0.0,,,28.0,1001.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/127.png,33.0
