id,name,position,bio,tenure_at_school,team_id,wins,loss,ties,win_perc
241,Bryan Faulds,Head Coach,,5,7,113,123,0,0.479
242,Jeff Feiler,Head Coach,,28,15,313,594,3,0.346
243,Ryan Femath,Head Coach,,3,738,73,58,0,0.557
244,Chris Fenisey,Head Coach,,5,304,92,82,1,0.529
245,Donegal Fergus,Head Coach,,3,414,58,69,0,0.457
246,Jonas Fester,Head Coach,,8,395,150,113,2,0.57
247,Tom Fiala,Head Coach,,4,871,43,80,0,0.35
248,Rusty Filter,Head Coach,,9,689,179,215,0,0.454
249,P.J. Finigan,Head Coach,,3,409,51,75,0,0.405
250,Michael Finlan,Head Coach,,3,74,29,52,1,0.36
251,Chris Finwood,Head Coach,,24,582,662,588,0,0.53
252,Drew Fittry,Head Coach,,10,327,124,173,0,0.418
253,Chad Fitzgerald,Head Coach,,12,323,245,187,1,0.567
254,Dan Fitzgerald,Head Coach,,4,366,107,76,0,0.585
255,Ryan Folmar,Head Coach,,14,587,440,285,1,0.607
256,Eric Folmar,Head Coach,,7,380,94,148,0,0.388
257,Scott Forbes,Head Coach,,6,543,212,105,1,0.668
258,Jeff Forehand,Head Coach,,26,411,722,681,1,0.515
259,Zach Foster,Head Coach,,10,610,107,169,0,0.388
260,Chris Francis,Head Coach,,15,848,223,298,3,0.428
261,Arlan Freeman,Head Coach,,8,2240,79,149,0,0.346
262,Joe Fucarino,Head Coach,,21,498,537,420,0,0.561
263,Dane Fujinaka,Head Coach,,5,322,107,107,0,0.5
264,Daniel Furbeck,Head Coach,,3,666,25,61,0,0.291
265,Mike Gaffney,Head Coach,,6,4,140,97,0,0.591
266,Kassidy Gaines,Head Coach,,3,678,62,48,0,0.564
267,Vinny Gallo,Head Coach,,9,964,134,127,0,0.513
268,Joe Galvin,Head Coach,,2,260,13,22,0,0.371
269,Mike Gambino,Head Coach,,16,601,357,419,0,0.46
270,Jim Gantt,Head Coach,,30,127,1050,518,0,0.67
271,Rudy Garbalosa,Head Coach,,26,427,696,557,4,0.555
272,Jose Garcia,Head Coach,,4,111,83,71,0,0.539
273,Rich Gawlak,Head Coach,,6,759,98,98,1,0.5
274,Aaron Gentry,Head Coach,,11,593,147,230,0,0.39
275,Billy Gernon,Head Coach,,25,894,488,714,3,0.406
276,Zack Getsee,Head Coach,,10,794,183,166,0,0.524
277,Jordan Getzelman,Head Coach,,1,527,5,5,0,0.5
278,Rick Giannetti,Head Coach,,25,213,564,552,2,0.505
279,Craig Gibson,Head Coach,,23,462,739,506,0,0.594
280,Shawn Gilblair,Head Coach,,3,495,60,33,0,0.645
281,Andrew Gipson,Head Coach,,3,533,65,39,0,0.625
282,Mike Givens,Head Coach,,1,953,6,9,0,0.4
283,Mike Gladu,Head Coach,,11,455,75,207,1,0.267
284,Mike Glavine,Head Coach,,12,551,360,228,1,0.612
285,Cliff Godwin,Head Coach,,12,220,439,219,2,0.667
286,Greg Goff,Head Coach,,21,627,515,472,1,0.522
287,Dan Gomez,Head Coach,,13,895,244,188,5,0.564
288,Anthony Goncalves,Head Coach,,5,237,54,96,1,0.361
289,Jason Gonzales,Head Coach,,18,779,505,363,0,0.582
290,Ryan Good,Head Coach,,19,269,361,373,0,0.492
291,Keith Gorman,Head Coach,,7,835,167,120,0,0.582
292,Adam Goss,Head Coach,,3,958,45,40,1,0.529
293,Erik Grafton,Head Coach,,8,195,97,148,0,0.396
294,James Grandey,Head Coach,,23,85,343,478,1,0.418
295,Trennis Grant,Head Coach,,4,967,64,92,0,0.41
296,Travis Graves,Head Coach,,1,787,11,7,0,0.611
297,Jerry Greeley,Head Coach,,24,378,378,415,4,0.477
298,Brian Green,Head Coach,,12,906,310,269,1,0.535
299,Ben Greenspan,Head Coach,,3,559,48,66,0,0.421
300,Kellen Greer,Head Coach,,5,572,68,104,0,0.395
301,Jeff Gregory,Head Coach,,16,917,486,304,1,0.615
302,Tom Griffin,Head Coach,,29,125,755,616,2,0.551
303,Dave Griffin,Head Coach,,10,629,159,216,0,0.424
304,Mitchell Griffiths,Head Coach,,2,930,33,15,0,0.688
305,Scott Grimes,Head Coach,,7,526,89,102,0,0.466
306,Benjamin Grimm,Head Coach,,15,768,199,283,1,0.413
307,Antonio Grissom,Head Coach,,8,506,100,176,1,0.363
308,Tod Gross,Head Coach,,14,515,198,249,2,0.443
309,Rob Grow,Head Coach,,34,647,591,565,2,0.511
310,John-Michael Guarino,Head Coach,,2,752,20,30,0,0.4
311,Alex Guerra,Head Coach,,4,634,60,111,0,0.351
312,Greg Guilliams,Head Coach,,36,264,1220,606,2,0.668
313,Jimmy Gulden,Head Coach,,1,206,4,0,0,1
314,Patrick Gully,Head Coach,,1,507,2,4,0,0.333
315,Andrew Gummow,Head Coach,,3,679,53,59,0,0.473
