id,team_id,total_attendance,average_attendance,capacity,capacity_percent,games,park_factor
147,250,10493,389,1200,0.324,27,0
148,644,10089,336,600,0.561,30,0
149,358,10073,387,1200,0.323,26,0
150,810,9929,331,1200,0.276,30,0
151,190,9831,364,1000,0.364,27,0
152,198,9791,316,700,0.451,31,0
153,891,9690,388,1500,0.258,25,0
154,229,9566,531,1200,0.443,18,0
155,683,9525,366,1000,0.366,26,0
156,37,9441,295,1200,0.246,32,0
157,547,9431,286,1000,0.286,33,0
158,411,9163,367,750,0.489,25,0
159,689,9139,352,1500,0.234,26,0
160,688,9124,397,5200,0.076,23,0
161,614,9002,429,900,0.476,21,0
162,919,8864,306,1800,0.17,29,0
163,371,8789,326,500,0.651,27,0
164,607,8784,382,1800,0.212,23,0
165,893,8641,247,1500,0.165,35,0
166,51,8623,375,800,0.469,23,0
167,725,8612,478,700,0.684,18,0
168,838,8538,407,1600,0.254,21,0
169,135,8514,294,1000,0.294,29,0
170,347,8411,443,1500,0.295,19,0
171,599,8355,440,1000,0.44,19,0
172,811,8128,325,1000,0.325,25,0
173,942,7836,412,6000,0.069,19,0
174,440,7666,295,0,0,26,0
175,414,7432,310,600,0.516,24,0
176,859,7395,224,1400,0.16,33,0
177,713,7384,273,2000,0.137,27,0
178,258,7379,284,1500,0.189,26,0
179,551,7375,307,2000,0.154,24,0
180,417,7364,295,500,0.589,25,0
181,817,7101,323,2500,0.129,22,0
182,228,6967,279,1000,0.279,25,0
183,740,6845,274,3500,0.078,25,0
184,619,6837,297,1300,0.229,23,0
185,137,6818,341,2046,0.167,20,0
186,720,6801,283,500,0.567,24,0
187,204,6783,234,1300,0.18,29,0
188,98,6752,375,500,0.75,18,0
189,807,6689,268,3500,0.076,25,0
190,668,6334,244,400,0.609,26,0
191,429,6203,365,4400,0.083,17,0
192,595,6171,281,2500,0.112,22,0
193,687,6135,236,1000,0.236,26,0
194,630,6010,223,650,0.343,27,0
195,839,5925,219,500,0.439,27,0
196,291,5857,293,1500,0.195,20,0
197,144,5745,250,500,0.5,23,0
198,39,5700,259,880,0.294,22,0
199,412,5555,185,1000,0.185,30,0
200,694,5554,252,1800,0.14,22,0
201,479,5433,286,4000,0.072,19,0
202,65,5421,175,500,0.35,31,0
203,16,5404,193,0,0,28,0
204,826,5383,179,1000,0.179,30,0
205,516,5364,173,800,0.216,31,0
206,559,5158,322,1000,0.322,16,0
207,270,5036,194,1000,0.194,26,0
208,663,5032,162,1200,0.135,31,0
209,777,4863,211,1100,0.192,23,0
210,837,4781,154,500,0.309,31,0
211,290,4770,159,1000,0.159,30,0
212,937,4727,249,500,0.498,19,0
213,622,4726,197,500,0.394,24,0
214,761,4718,197,1000,0.197,24,0
215,855,4691,213,750,0.284,22,0
216,89,4684,276,1100,0.251,17,0
217,505,4635,202,1200,0.168,23,0
218,90,4507,237,7500,0.032,19,0
219,697,4500,180,1000,0.18,25,0
220,318,4494,321,1600,0.201,14,0
221,824,4475,179,1000,0.179,25,0
222,499,4465,203,500,0.406,22,0
223,173,4431,341,600,0.568,13,0
224,77,4425,143,4200,0.034,31,0
225,569,4334,181,500,0.361,24,0
226,693,4188,182,700,0.26,23,0
227,573,4171,232,4000,0.058,18,0
228,251,4070,226,0,0,18,0
229,793,4035,139,1000,0.139,29,0
230,331,3933,197,600,0.328,20,0
231,397,3840,175,370,0.472,22,0
232,470,3739,170,1000,0.17,22,0
233,750,3714,286,800,0.357,13,0
234,7,3699,185,1500,0.123,20,0
235,519,3666,153,2000,0.076,24,0
236,266,3656,141,1500,0.094,26,0
237,286,3654,118,550,0.214,31,0
238,541,3652,135,1500,0.09,27,0
239,645,3629,242,1000,0.242,15,0
240,819,3620,139,1000,0.139,26,0
241,664,3560,170,0,0,21,0
242,509,3525,153,500,0.307,23,0
243,554,3521,141,500,0.282,25,0
244,542,3512,146,750,0.195,24,0
245,205,3507,185,200,0.923,19,0
246,100,3476,232,0,0,15,0
247,894,3456,247,1500,0.165,14,0
248,809,3428,143,0,0,24,0
249,670,3393,148,500,0.295,23,0
250,35,3379,141,1500,0.094,24,0
251,96,3377,188,0,0,18,0
252,332,3352,186,3000,0.062,18,0
253,536,3340,209,0,0,16,0
254,136,3337,159,0,0,21,0
255,736,3319,184,0,0,18,0
256,409,3253,141,1000,0.141,23,0
257,823,3184,177,0,0,18,0
258,289,3179,122,1000,0.122,26,0
259,432,3172,211,0,0,15,0
260,254,3159,132,500,0.263,24,0
261,634,3143,105,800,0.131,30,0
262,623,3112,259,0,0,12,0
263,181,2944,123,1500,0.082,24,0
264,540,2883,222,0,0,13,0
265,539,2831,157,2000,0.079,18,0
266,792,2790,164,1000,0.164,17,0
267,546,2767,252,4172,0.06,11,0
268,628,2763,154,500,0.307,18,0
269,705,2752,125,1000,0.125,22,0
270,640,2717,143,1000,0.143,19,0
271,227,2711,226,500,0.452,12,0
272,6,2678,141,1000,0.141,19,0
273,672,2624,109,1000,0.109,24,0
274,784,2595,113,600,0.188,23,0
275,825,2573,92,5200,0.018,28,0
276,338,2559,213,500,0.427,12,0
277,121,2488,156,1000,0.156,16,0
278,633,2384,132,0,0,18,0
279,851,2345,156,500,0.313,15,0
280,196,2322,166,2000,0.083,14,0
281,355,2318,97,0,0,24,0
282,702,2258,141,500,0.282,16,0
283,64,2210,116,300,0.388,19,0
284,56,2111,111,1500,0.074,19,0
285,806,2050,121,0,0,17,0
286,182,2036,204,500,0.407,10,0
287,938,2008,183,5000,0.037,11,0
288,352,1987,166,0,0,12,0
289,863,1915,91,7171,0.013,21,0
290,621,1850,123,512,0.241,15,0
291,466,1836,97,0,0,19,0
292,301,1835,102,1000,0.102,18,0
293,452,1735,91,3000,0.03,19,0
294,413,1734,75,500,0.151,23,0
295,97,1700,106,500,0.213,16,0
296,892,1657,118,502,0.236,14,0
297,760,1646,91,1000,0.091,18,0
298,489,1534,73,120,0.609,21,0
299,317,1489,135,1000,0.135,11,0
300,553,1413,109,1500,0.073,13,0
301,711,1389,126,500,0.253,11,0
302,384,1374,115,500,0.229,12,0
303,675,1349,84,500,0.169,16,0
304,9,1346,79,0,0,17,0
305,438,325,22,1000,0.022,15,0
306,27,31275,869,4000,0.217,36,0
307,172,15628,460,1500,0.306,34,0
308,883,10291,343,2500,0.137,30,0
309,917,9570,319,1000,0.319,30,0
310,828,9414,325,750,0.433,29,0
311,840,9287,344,1000,0.344,27,0
312,138,8949,263,1500,0.176,34,0
313,423,8517,304,3000,0.101,28,0
314,548,7981,249,500,0.499,32,0
315,655,7722,257,1000,0.257,30,0
316,632,7603,262,0,0,29,0
317,496,7561,210,600,0.35,36,0
318,222,7408,296,250,1.185,25,0
319,10,7354,283,1000,0.283,26,0
320,400,7272,235,500,0.469,31,0
321,189,7161,286,2500,0.115,25,0
322,654,7015,292,1200,0.244,24,0
323,191,6852,214,5000,0.043,32,0
324,715,6573,274,500,0.548,24,0
325,321,6442,258,1500,0.172,25,0
326,174,6372,255,2500,0.102,25,0
327,911,6328,218,501,0.436,29,0
328,592,6244,231,500,0.463,27,0
329,549,5909,191,500,0.381,31,0
330,835,5807,207,1000,0.207,28,0
331,669,5711,184,1000,0.184,31,0
332,552,5684,258,200,1.292,22,0
333,33,5684,237,1000,0.237,24,0
334,66,5671,196,1000,0.196,29,0
335,746,5601,215,2260,0.095,26,0
336,738,5532,198,500,0.395,28,0
337,617,5416,201,750,0.268,27,0
338,795,5338,172,0,0,31,0
339,881,5238,218,1500,0.146,24,0
340,207,5197,226,1000,0.226,23,0
341,390,5147,198,1000,0.198,26,0
342,534,5111,150,500,0.301,34,0
343,125,5014,228,1000,0.228,22,0
344,512,4978,207,500,0.415,24,0
345,487,4933,197,1200,0.164,25,0
346,293,4914,214,250,0.855,23,0
347,315,4911,158,300,0.528,31,0
348,508,4882,212,600,0.354,23,0
349,454,4816,193,500,0.385,25,0
350,772,4773,149,750,0.199,32,0
351,886,4725,197,300,0.656,24,0
352,263,4692,174,1000,0.174,27,0
353,941,4646,194,500,0.387,24,0
354,47,4560,182,400,0.456,25,0
355,127,4505,161,2500,0.064,28,0
356,283,4498,155,500,0.31,29,0
357,849,4451,194,700,0.277,23,0
358,869,4407,176,800,0.22,25,0
359,889,4387,157,500,0.313,28,0
360,476,4332,167,250,0.667,26,0
361,38,4330,180,500,0.361,24,0
362,723,4318,216,200,1.08,20,0
363,558,4313,188,500,0.375,23,0
364,139,4307,166,1000,0.166,26,0
365,716,4293,159,1500,0.106,27,0
366,882,4286,226,2500,0.09,19,0
367,221,4283,165,150,1.098,26,0
368,613,4272,134,300,0.445,32,0
369,59,4238,170,3000,0.057,25,0
370,403,4223,222,1000,0.222,19,0
371,58,4203,150,1000,0.15,28,0
372,148,4184,167,4100,0.041,25,0
373,563,4143,244,500,0.487,17,0
374,53,4098,146,1000,0.146,28,0
375,755,4060,185,2500,0.074,22,0
376,803,4048,140,2500,0.056,29,0
377,884,3988,160,800,0.199,25,0
378,818,3960,124,750,0.165,32,0
379,831,3958,147,750,0.196,27,0
380,812,3859,133,500,0.266,29,0
381,396,3855,133,500,0.266,29,0
382,724,3845,137,500,0.275,28,0
383,26,3841,137,0,0,28,0
384,567,3774,140,500,0.28,27,0
385,780,3755,150,0,0,25,0
386,171,3734,187,500,0.373,20,0
387,406,3579,149,500,0.298,24,0
388,779,3569,143,4000,0.036,25,0
389,271,3560,170,1200,0.141,21,0
390,324,3559,127,750,0.17,28,0
391,298,3485,116,100,1.162,30,0
392,151,3449,128,500,0.256,27,0
393,695,3434,123,0,0,28,0
394,918,3423,180,500,0.36,19,0
395,175,3331,111,2500,0.044,30,0
396,503,3312,132,450,0.294,25,0
397,232,3296,127,0,0,26,0
398,268,3287,126,0,0,26,0
399,791,3257,233,500,0.465,14,0
400,273,3255,125,1755,0.071,26,0
401,106,3239,130,0,0,25,0
402,529,3218,179,500,0.358,18,0
403,42,3115,164,0,0,19,0
404,240,3064,133,615,0.217,23,0
405,215,3015,121,4000,0.03,25,0
406,34,2978,129,600,0.216,23,0
407,112,2973,103,500,0.205,29,0
408,497,2972,119,200,0.594,25,0
409,110,2948,92,600,0.154,32,0
410,778,2935,117,400,0.294,25,0
411,733,2881,103,1000,0.103,28,0
412,394,2855,143,1500,0.095,20,0
413,170,2837,177,202,0.878,16,0
414,700,2758,99,500,0.197,28,0
415,264,2752,115,700,0.164,24,0
416,107,2696,104,400,0.259,26,0
417,245,2680,103,500,0.206,26,0
418,119,2666,107,1200,0.089,25,0
419,439,2666,127,500,0.254,21,0
420,754,2653,95,1000,0.095,28,0
421,48,2653,98,600,0.164,27,0
422,279,2601,124,0,0,21,0
423,79,2548,91,500,0.182,28,0
424,498,2518,120,500,0.24,21,0
425,833,2484,104,0,0,24,0
426,448,2459,88,500,0.176,28,0
427,328,2457,189,250,0.756,13,0
428,131,2445,102,0,0,24,0
429,131,2445,102,500,0.204,24,0
430,708,2423,93,1000,0.093,26,0
431,727,2396,100,500,0.2,24,0
432,41,2359,112,650,0.173,21,0
433,115,2342,98,3200,0.031,24,0
434,731,2342,102,250,0.407,23,0
435,560,2332,90,6000,0.015,26,0
436,612,2327,111,0,0,21,0
437,377,2317,105,0,0,22,0
438,885,2316,136,300,0.454,17,0
439,857,2308,77,200,0.385,30,0
440,434,2307,165,500,0.33,14,0
441,111,2306,100,350,0.287,23,0
442,718,2297,177,300,0.589,13,0
443,481,2287,191,300,0.635,12,0
444,629,2250,102,0,0,22,0
445,192,2232,86,200,0.429,26,0
446,707,2226,86,1500,0.057,26,0
447,501,2214,130,3071,0.042,17,0
448,45,2211,96,0,0,23,0
449,303,2205,130,500,0.259,17,0
450,847,2147,107,0,0,20,0
451,574,2145,134,500,0.268,16,0
452,557,2134,133,0,0,16,0
