rank,teamSeasonId,teamName,conference,record,rpi,sport,division,date
262,,Ark.-Pine Bluff,,18-27,0.15260,baseball,D1,04/30/2026
263,,Presbyterian,Big South,10-35,0.14935,baseball,D1,04/30/2026
264,,UC Riverside,Big West,14-29,0.14610,baseball,D1,04/30/2026
265,,Saint Louis,Atlantic 10,17-27,0.14286,baseball,D1,04/30/2026
266,,George Washington,Atlantic 10,17-26,0.13961,baseball,D1,04/30/2026
267,,Villanova,Big East,14-25,0.13636,baseball,D1,04/30/2026
268,,Akron,Mid-American,19-25,0.13312,baseball,D1,04/30/2026
269,,Valparaiso,Missouri Valley,10-30,0.12987,baseball,D1,04/30/2026
270,,Lehigh,Patriot League,13-29,0.12662,baseball,D1,04/30/2026
271,,LIU,NEC,19-18,0.12338,baseball,D1,04/30/2026
272,,Eastern Ky.,ASUN,10-34,0.12013,baseball,D1,04/30/2026
273,,Mount St. Mary's,,19-22,0.11688,baseball,D1,04/30/2026
274,,Seattle U,West Coast,12-24,0.11364,baseball,D1,04/30/2026
275,,Canisius,MAAC,14-22,0.11039,baseball,D1,04/30/2026
276,,Northern Ky.,Horizon League,20-23,0.10714,baseball,D1,04/30/2026
277,,St. Bonaventure,Atlantic 10,12-28-1,0.10390,baseball,D1,04/30/2026
278,,UAlbany,America East,12-25,0.10065,baseball,D1,04/30/2026
279,,Le Moyne,NEC,14-22,0.09740,baseball,D1,04/30/2026
280,,Fresno St.,Mountain West,12-29-1,0.09416,baseball,D1,04/30/2026
281,,Utah Valley,Western Athletic,12-27,0.09091,baseball,D1,04/30/2026
282,,UNC Asheville,Big South,17-28,0.08766,baseball,D1,04/30/2026
283,,La Salle,Atlantic 10,20-26,0.08442,baseball,D1,04/30/2026
284,,N.C. A&T,,12-31,0.08117,baseball,D1,04/30/2026
285,,Lafayette,Patriot League,10-32,0.07792,baseball,D1,04/30/2026
286,,Manhattan,MAAC,15-25,0.07468,baseball,D1,04/30/2026
287,,St. Thomas (MN),The Summit League,9-30,0.07143,baseball,D1,04/30/2026
288,,Texas Southern,SWAC,19-15,0.06818,baseball,D1,04/30/2026
289,,Ohio,Mid-American,8-36,0.06494,baseball,D1,04/30/2026
290,,Youngstown St.,Horizon League,9-34,0.06169,baseball,D1,04/30/2026
291,,Bradley,Missouri Valley,8-37,0.05844,baseball,D1,04/30/2026
292,,Grambling,SWAC,16-25,0.05519,baseball,D1,04/30/2026
293,,Oakland,Horizon League,9-30,0.05195,baseball,D1,04/30/2026
294,,Jackson St.,SWAC,16-23,0.04870,baseball,D1,04/30/2026
295,,Mississippi Val.,SWAC,11-27,0.04545,baseball,D1,04/30/2026
296,,NJIT,America East,14-24-1,0.04221,baseball,D1,04/30/2026
297,,Northern Colo.,The Summit League,12-31,0.03896,baseball,D1,04/30/2026
298,,Mercyhurst,NEC,13-24,0.03571,baseball,D1,04/30/2026
299,,New Haven,NEC,7-28,0.03247,baseball,D1,04/30/2026
300,,Central Conn. St.,NEC,14-20,0.02922,baseball,D1,04/30/2026
301,,Norfolk St.,NEC,15-24,0.02597,baseball,D1,04/30/2026
302,,Prairie View,,6-33,0.02273,baseball,D1,04/30/2026
303,,Coppin St.,NEC,8-30,0.01948,baseball,D1,04/30/2026
304,,Alabama A&M,,6-36,0.01623,baseball,D1,04/30/2026
305,,Alcorn,SWAC,4-35,0.01299,baseball,D1,04/30/2026
306,,UMES,NEC,7-31,0.00974,baseball,D1,04/30/2026
307,,Saint Peter's,,4-38,0.00649,baseball,D1,04/30/2026
308,,Delaware St.,NEC,3-37,0.00325,baseball,D1,04/30/2026
