rank,team,dsr,record,conference,sport,date
229,"Georgetown",".404","16-26-0",".381",softball,2026-05-09
230,"Kansas City",".404","16-32-0",".333",softball,2026-05-09
231,"UMass Lowell",".404","26-25-0",".510",softball,2026-05-09
232,"Cornell",".402","21-22-0",".488",softball,2026-05-09
233,"Quinnipiac",".400","22-20-0",".524",softball,2026-05-09
234,"Furman",".400","13-40-0",".245",softball,2026-05-09
235,"Lipscomb",".399","13-38-0",".255",softball,2026-05-09
236,"Rider",".399","25-24-0",".510",softball,2026-05-09
237,"Valparaiso",".398","22-30-0",".423",softball,2026-05-09
238,"Weber State",".398","14-42-0",".250",softball,2026-05-09
239,"Presbyterian",".398","20-31-0",".392",softball,2026-05-09
240,"Abilene Christian",".398","7-41-0",".146",softball,2026-05-09
241,"Oakland",".397","12-24-0",".510",softball,2026-05-09
242,"Yale",".396","17-28-0",".378",softball,2026-05-09
243,"Iona",".396","26-24-0",".520",softball,2026-05-09
244,"Houston Christian",".395","11-36-0",".234",softball,2026-05-09
245,"Lindenwood",".395","29-23-0",".558",softball,2026-05-09
246,"Portland State",".394","14-32-0",".304",softball,2026-05-09
247,"UMBC",".394","10-8-0",".556",softball,2026-05-09
248,"Texas A&M-Corpus Christi",".394","14-39-0",".264",softball,2026-05-09
249,"East Tennessee State",".393","22-29-0",".431",softball,2026-05-09
250,"Rhode Island",".393","21-26-0",".447",softball,2026-05-09
251,"Drexel",".392","22-23-0",".489",softball,2026-05-09
252,"Towson",".392","25-26-0",".490",softball,2026-05-09
253,"Fairfield",".391","27-23-0",".540",softball,2026-05-09
254,"Delaware State",".390","18-17-0",".605",softball,2026-05-09
255,"Green Bay",".389","14-29-0",".356",softball,2026-05-09
256,"Alabama State",".388","22-32-0",".418",softball,2026-05-09
257,"Canisius",".385","16-26-0",".386",softball,2026-05-09
258,"UC San Diego",".381","23-28-0",".451",softball,2026-05-09
259,"Sacred Heart",".381","23-30-0",".434",softball,2026-05-09
260,"Long Island",".379","24-30-0",".444",softball,2026-05-09
261,"West Georgia",".378","15-40-0",".273",softball,2026-05-09
262,"Tennessee Tech",".378","16-34-0",".320",softball,2026-05-09
263,"Monmouth",".376","20-31-0",".392",softball,2026-05-09
264,"Charleston Southern",".374","9-41-0",".180",softball,2026-05-09
265,"Mount St. Mary's",".374","20-28-0",".417",softball,2026-05-09
266,"Jackson State",".373","21-21-0",".532",softball,2026-05-09
267,"UC Riverside",".373","6-38-0",".136",softball,2026-05-09
268,"Detroit",".371","14-32-0",".319",softball,2026-05-09
269,"South Carolina State",".371","19-18-0",".537",softball,2026-05-09
270,"Penn",".371","17-27-0",".386",softball,2026-05-09
271,"CSU Bakersfield",".369","10-40-0",".200",softball,2026-05-09
272,"Central Connecticut",".368","26-18-0",".591",softball,2026-05-09
273,"Lafayette",".368","16-35-0",".314",softball,2026-05-09
274,"Norfolk State",".365","20-20-0",".524",softball,2026-05-09
275,"Grambling",".361","12-25-0",".300",softball,2026-05-09
276,"Bellarmine",".360","12-38-0",".240",softball,2026-05-09
277,"Morgan State",".360","13-27-0",".357",softball,2026-05-09
278,"Cal Poly",".360","11-35-0",".239",softball,2026-05-09
