rank,team,record,elo,delta,sport,date
280,Bellarmine,12-38,1281.94,-41.51,softball,2026-05-12
281,Manhattan,15-37,1281.89,-46.77,softball,2026-05-12
282,Merrimack,12-29,1281.74,-56.05,softball,2026-05-12
283,Alcorn,9-31,1280.74,-55.74,softball,2026-05-12
284,Western Ill.,14-32,1277.18,-50.18,softball,2026-05-12
285,Maine,11-36,1271.83,-54.23,softball,2026-05-12
286,Charleston So.,10-41,1271.25,-67.84,softball,2026-05-12
287,Hampton,10-33,1270.82,-60.45,softball,2026-05-12
288,CSU Bakersfield,10-40,1255.19,-66.96,softball,2026-05-12
289,Le Moyne,16-35,1254.69,-64.86,softball,2026-05-12
290,Stonehill,13-37,1253.68,-55.45,softball,2026-05-12
291,UC Riverside,6-38,1253.45,-80.43,softball,2026-05-12
292,Bucknell,9-35,1252.3,-65.94,softball,2026-05-12
293,St. Bonaventure,9-44,1248.64,-72.2,softball,2026-05-12
294,IU Indy,7-40,1245.05,-84.92,softball,2026-05-12
295,Holy Cross,10-34,1244.94,-69.4,softball,2026-05-12
296,Alabama A&M,10-29,1236.32,-96.25,softball,2026-05-12
297,Coppin St.,9-27,1234.51,-82.43,softball,2026-05-12
298,UMES,9-32,1225.56,-86.17,softball,2026-05-12
299,Morehead St.,7-38,1223.53,-89.5,softball,2026-05-12
300,N.C. Central,7-40,1222.44,-93.2,softball,2026-05-12
301,Niagara,8-34,1220.39,-82.22,softball,2026-05-12
302,East Texas A&M,6-46,1216.85,-93.57,softball,2026-05-12
303,New Haven,10-35,1209.66,-95.56,softball,2026-05-12
304,Mercyhurst,9-34,1194.72,-113.1,softball,2026-05-12
305,Tennessee St.,2-38,1181.57,-119.73,softball,2026-05-12
306,Saint Peter's,7-44,1171.07,-132.84,softball,2026-05-12
307,Saint Francis,5-42,1167.96,-138.55,softball,2026-05-12
308,Mississippi Val.,0-36,1139.03,-160.97,softball,2026-05-12
