id,school_id,State,education,avg_port_add_2years,avg_port_add_2years_rank,avg_port_loss_2years,avg_port_loss_2years_rank,portal_ab,portal_ab_rank,portal_ip,portal_ip_rank,AB50_player_year_C,AB50_player_year_rank_C,AB50_player_year_1B,AB50_player_year_rank_1B,AB50_player_year_2B,AB50_player_year_rank_2B,AB50_player_year_SS,AB50_player_year_rank_SS,AB50_player_year_3B,AB50_player_year_rank_3B,AB50_player_year_LF,AB50_player_year_rank_LF,AB50_player_year_CF,AB50_player_year_rank_CF,AB50_player_year_RF,AB50_player_year_rank_RF,IP20_player_year,IP20_player_year_rank,Coach_2yr_win_percentage,3yr_wOBA,3yr_OPS,3yr_wRAA,3yr_k_bb,3yr_ISO,3yr_xFIP,3yr_WHIP,3yr_K_BB,3yr_A_OPS,3yr_BB_Per,3yr_K_percentage
670,683,1,0.7412,3,0.2742,4.5,0.4309,3.333333333,0.0172,72.77766667,0.6791,0.833333333,0.1233,3,0.8065,2.415584416,0.5833,2,0.4875,4,1,2,0.5652,0,0,2,0.5581,0,0,0.553,0.721566667,0.745466667,0.7172,0.277033333,0.795666667,0.651333333,0.574266667,0.660833333,0.4396,0.6175,0.676
671,684,5,0.7588,9.5,0.9431,9,0.9243,427.6666667,0.8591,127.4443333,0.9595,3.542857143,0.9361,1.409090909,0.2151,2.602409639,0.6174,0,0,3.493333333,0.8333,,,3,0.8165,2.755813953,0.6473,0.933344667,0.8921,0.593,0.5794,0.564166667,0.577133333,0.409866667,0.510933333,0.6109,0.639133333,0.700966667,0.514166667,0.6651,0.6965
672,685,5,0.5588,7.5,0.8161,9,0.9243,226.3333333,0.5808,94.88833333,0.8311,2.617021277,0.7123,1,0.1577,2.739130435,0.6364,3,0.8826,3.418803419,0.8296,2.657894737,0.7075,3,0.8165,2.055555556,0.562,1.881574042,1,0.615,0.212733333,0.236633333,0.188866667,0.205666667,0.255166667,0.403233333,0.370433333,0.440033333,0.4532,0.3283,0.6964
673,686,5,,1,0.2405,7.5,0.9836,83,0.4464,21.77766667,0.4977,,,,,,,,,,,,,,,,,,,,0.509333333,0.509333333,0.5253,0.279266667,0.431066667,0.4771,0.4456,0.508233333,0.399633333,0.590766667,0.357566667
674,687,5,0.5324,3.5,0.3579,5,0.5099,248.6666667,0.6151,84.222,0.7703,3.927272727,0.9726,1.137931034,0.172,0,0,4,1,0,0,0,0,1,0.1798,2,0.5581,0.406452924,0.3741,0.396,0.199133333,0.191533333,0.189133333,0.154566667,0.2622,0.5086,0.690233333,0.4813,0.6686,0.6532,0.338933333
675,688,5,0.0559,10.5,0.9632,4,0.3553,425,0.8557,118.2223333,0.9291,0,0,0,0,0.98,0.1326,2,0.4875,1.495934959,0.2852,2,0.5652,3.115789474,0.8202,3,0.8101,0.731780148,0.7842,0.43,0.2464,0.270333333,0.2213,0.062,0.464,0.3179,0.443866667,0.348766667,0.401333333,0.534033333,0.2478
676,689,5,0.7176,2.5,0.1873,3,0.2105,66.66666667,0.11,4.222333333,0.0304,0,0,1,0.1577,4,1,2.888888889,0.5979,0,0,1.88372093,0.4269,0,0,1.685714286,0.3333,0,0,0.454,0.2107,0.218266667,0.205466667,0.331666667,0.254166667,0.7109,0.5915,0.605233333,0.617333333,0.426233333,0.735733333
677,690,10,,2,0.5021,2,0.5574,126.6666667,0.625,0.222333333,0.0045,1.259259259,0.2963,1.474074074,0.3302,2,0.665,2.134020619,0.6283,1,0.2885,1.5,0.4195,1.436619718,0.3594,1,0.2461,0,0,0.478,0.696533333,0.680733333,0.667466667,0.967266667,0.354133333,0.416666667,0.6407,0.3938,0.725833333,0.3147,0.562633333
678,691,43,,1.5,0.6887,0.5,0.4044,9.333333333,0.17,10.88866667,0.5366,1.692307692,0.3945,4,1,0,0,2,0.4757,1.838383838,0.298,0,0,2,0.4465,1.57480315,0.2308,0,0,0.358,0.210533333,0.2141,0.165933333,0.350066667,0.132433333,0.394,0.291966667,0.351433333,0.231966667,0.853933333,0.088833333
679,692,38,,1,0.5292,0.5,0.4044,55.66666667,0.6324,1.889,0.1707,0,0,0,0,0,0,0,0,3.492063492,0.8212,3.884057971,0.913,4,1,0,0,0,0,0.489,0.627766667,0.605866667,0.645466667,0.823666667,0.263,0.391833333,0.4639,0.365733333,0.590066667,0.362233333,0.430933333
680,693,47,0.6706,3,0.2742,5,0.5099,37.33333333,0.0515,37.66666667,0.3446,0,0,0.863636364,0.0538,2.204819277,0.5606,1,0.153,0,0,0,0,0.891891892,0.0487,2,0.5581,1.0535,0.9353,0.411,0.1432,0.1465,0.153066667,0.239266667,0.208666667,0.4205,0.3185,0.5128,0.2566,0.704533333,0.351766667
681,694,30,0.8882,9,0.9264,7,0.7566,470,0.9003,61.778,0.5878,2.756756757,0.758,0,0,2.739726027,0.6402,2.13253012,0.5053,3,0.8148,2.347826087,0.6126,3,0.8165,2,0.5581,0.505098768,0.5252,0.504,0.244566667,0.220633333,0.249,0.678666667,0.165133333,0.5489,0.598866667,0.530133333,0.702166667,0.500133333,0.553866667
682,695,38,,1.5,0.3924,3.5,0.8156,66,0.3929,15.66666667,0.3756,2.375,0.7901,4,1,0,0,0,0,0,0,2.731343284,0.7756,4,1,0,0,0,0,0.669,0.573533333,0.574833333,0.5563,0.5618,0.660833333,0.948633333,0.9646,0.9576,0.957966667,0.935633333,0.902633333
683,696,42,,2,0.8093,1,0.6691,35,0.4229,11.44433333,0.5512,0,0,4,1,1.925,0.4097,0,0,1.852941176,0.3046,0,0,2,0.4465,0,0,0,0,0.462,0.6082,0.599466667,0.605533333,0.496933333,0.5764,0.409833333,0.478066667,0.295066667,0.452166667,0.316733333,0.373766667
684,697,43,0.0529,2.5,0.1873,4,0.3553,73,0.134,9.777666667,0.0845,1.818181818,0.4292,3,0.8065,0,0,0,0,1.512437811,0.2926,0.858974359,0.1304,1.914893617,0.2734,1.706666667,0.3372,0.240384615,0.0935,0.623,0.260733333,0.258533333,0.2629,0.564566667,0.220333333,0.429466667,0.272966667,0.465033333,0.3229,0.603833333,0.327833333
685,698,46,,2.5,0.8833,2,0.8971,54,0.6206,3.444333333,0.2829,0.892857143,0.1468,0,0,2.931818182,0.7222,2.328358209,0.5081,0.953488372,0.1523,2.467105263,0.6159,0,0,3.853658537,0.8671,0,0,0.691,0.9545,0.9554,0.961333333,0.860966667,0.9265,0.573,0.6588,0.418633333,0.656633333,0.270733333,0.595333333
686,699,48,,1.5,0.3924,2,0.5574,5.666666667,0.0536,11.77766667,0.3122,0.634146341,0.0802,2,0.6047,0.873015873,0.1379,3,0.823,1.669902913,0.399,0,0,2.961538462,0.7604,3,0.8534,0.302787273,0.3205,0.548,0.535766667,0.547533333,0.524866667,0.277566667,0.7208,0.3585,0.4452,0.362233333,0.489966667,0.3642,0.440533333
687,700,38,,1,0.2405,0.5,0.1148,0,0,39.88866667,0.7195,1.185185185,0.2593,1.229357798,0.2884,0,0,1.975903614,0.469,1.390243902,0.3413,2.671875,0.7561,0.584158416,0.0138,2,0.6283,0,0,0.52,0.564,0.5745,0.539966667,0.532266667,0.494033333,0.7223,0.8531,0.732366667,0.924166667,0.576833333,0.8251
688,701,10,,3.5,0.7173,2,0.5574,163,0.7143,10.111,0.2579,0.608333333,0.0556,1,0.2698,0.847826087,0.1232,1,0.3053,2,0.5913,1.747747748,0.4878,1.694117647,0.4378,0,0,0,0,0.535,0.720233333,0.730733333,0.709566667,0.669733333,0.805766667,0.231366667,0.3777,0.2323,0.4055,0.3295,0.228466667
689,702,32,0.7176,6,0.6689,5.5,0.5757,272.3333333,0.646,69.666,0.6453,1.736263736,0.379,0,0,2.530612245,0.6061,1.113207547,0.1637,3,0.8148,0,0,0,0,3.362318841,0.8372,0,0,0.319,0.281333333,0.262866667,0.283666667,0.543733333,0.1978,0.073033333,0.1068,0.091333333,0.246933333,0.090666667,0.1705
690,703,15,,0,0,0.5,0.4044,0,0,0,0,1.59375,0.3578,0,0,0,0,0,0,0,0,0,0,3.50877193,0.7987,2,0.4755,0,0,0.372,0.2416,0.254766667,0.2295,0.1584,0.471766667,0.915533333,0.777,0.8948,0.793,0.685033333,0.9562
691,704,41,,1.5,0.3924,3,0.7541,81.33333333,0.442,0,0,1.890909091,0.6173,3,0.8326,0,0,0.537634409,0.0044,2.894736842,0.7308,1.461538462,0.4098,3.473684211,0.8894,1.490196078,0.377,0,0,0.407,0.344933333,0.3475,0.3515,0.262566667,0.364233333,0.650366667,0.496333333,0.554166667,0.4974,0.4117,0.7455
